id,category,question,answerable,answer,confidence,evidence,normalized_entities
1,simple,What is the published_date for CVE-2022-22047?,True,2022-01-01,,,
2,simple,What control_id is set for the Mitigation named Patching?,True,PATCH,,,
3,simple,What framework is listed for the Mitigation Install Apple security updates?,True,Vendor Advisory,,,
4,simple,What is the sponsor country for threat actor APT35?,True,Iran,,,
5,simple,What motivation is stored on threat actor Magnet Goblin?,True,financial,,,
6,simple,What tactic is set on Technique T1190?,True,Initial Access,,,
7,simple,What tactic is set on Technique T1102?,True,Command and Control,,,
8,simple,What is the type of incident inc_diamond_sleet_cyberlink_supply_chain?,True,supply chain attack,,,
9,simple,What confidence is assigned to attribution of the TA558 incident?,True,medium,,,
10,simple,What is the date value for Incident APT35-2020-medical-research-targeting?,True,2020-10-01,,,
11,simple,What sector is set for victim Medical research organizations (Israel)?,True,Healthcare,,,
12,simple,What country_iso2 is set for victim Academic institutions (France)?,True,FR,,,
13,simple,What publisher is set for Source checkpoint_magnet_goblin_nerbian_one_day?,True,Check Point,,,
14,simple,What family is set for malware Trojanized CyberLink application installer?,True,Supply chain trojanized installer,,,
15,simple,What tactic is set for technique T1056?,True,Collection,,,
16,single_hop,Which motivation type is Magnet Goblin connected to via motivated_by?,True,financial,,,
17,single_hop,Which malware family does Magnet Goblin use that steals credentials in JavaScript?,True,Warpwire,,,
18,single_hop,Which tool does Magnet Goblin use described as an open source tunneling tool?,True,Ligolo,,,
19,single_hop,Which CVE is exploited_in by incident inc-cve-2022-22047-exploited-in-wild?,True,CVE-2022-22047,,,
20,single_hop,Which technique is used_technique by incident inc-cve-2022-22047-exploited-in-wild?,True,T1068,,,
21,single_hop,Which mitigation directly mitigates CVE-2022-22047?,True,Patching,,,
22,single_hop,Which incident is mitigated by Install Apple security updates?,True,apple-zero-day-active-attack-cve-2022-32894,,,
23,single_hop,Which CVE is mitigated by Install Apple security updates?,True,CVE-2022-32894,,,
24,single_hop,Which CVE is exploited_in by incident CVE-2023-45866-KEYSTROKE-INJECTION?,True,CVE-2023-45866,,,
25,single_hop,Which tool is involved_tool in incident CVE-2023-45866-KEYSTROKE-INJECTION?,True,Python script (emulated Bluetooth keyboard),,,
26,single_hop,Which technique IDs are used_technique in the Bluetooth keystroke injection incident?,True,"T1056, T1204",,,
27,single_hop,Which two sectors are targeted by campaign TA558 Travel & Hospitality Fake Reservation Email Campaign?,True,"Transportation, Other",,,
