id,question,answerable,answer,evidence,normalized_entities,timeframe,confidence
1,"Which malware families described operate as information stealers or backdoors, and what credential or sensitive-data types do they harvest from victims?",True,"Jupyter (aka Yellow Cockatoo/Solarmarker/Polazert) is described as an information stealer that harvests credential-related data including cookies, Web data, browser password-manager information, and logins for crypto-wallets and remote access applications. Kazuar is described as an advanced .NET backdoor used by Pensive Ursa that was used to go after sensitive assets including Signal messages and source-control/cloud-platform data. SnappyTCP is described as a reverse TCP shell (web shell) with basic C2 capabilities used by Sea Turtle for persistence.","[{'source_id': 'CTI_TEXTS_3', 'page': 1, 'quote': 'Jupyter... can backdoor machines and harvest... cookies, Web data, browser password manager information... such as logins for crypto-wallets and remote access apps.'}, {'source_id': 'CTI_TEXTS_2', 'page': 1, 'quote': 'Kazuar is an advanced and stealthy .NET backdoor... going after sensitive assets such as those found in Signal messages, source control and cloud platforms data.'}, {'source_id': 'CTI_TEXTS_9', 'page': 1, 'quote': 'using... reverse TCP shell... called SnappyTCP... has basic command-and-control (C2) capabilities, and is also likely used for establishing persistence'}]","{'actors': ['Pensive Ursa', 'Sea Turtle'], 'malware': ['Jupyter', 'Kazuar', 'SnappyTCP'], 'cves': [], 'sectors': [], 'regions': [], 'mitre': []}","{'from': '2017-01-01', 'to': '2023-12-31'}",high
2,"Which actors are attributed to state security or military organizations, and what target sectors are explicitly described for each actor?",True,"Pensive Ursa is linked to the Russian Federal Security Service (FSB) and has been reported targeting the Ukrainian defense sector, and mostly organizations in European government and military sectors. Peach Sandstorm (aka APT33/Elfin/Refined Kitten) is an Iranian threat actor linked by Microsoft to password spray activity; intrusions singled out satellite, defense, and pharmaceutical sectors. Sea Turtle is described as conducting state-sponsored attacks targeting public and private entities in the Middle East and North Africa.","[{'source_id': 'CTI_TEXTS_2', 'page': 1, 'quote': 'Pensive Ursa is a Russian-based threat group... linked to the Russian Federal Security Service (FSB)... targeting the Ukrainian defense sector... targeting mostly organizations in the European government and military sectors.'}, {'source_id': 'CTI_TEXTS_4', 'page': 1, 'quote': 'Peach Sandstorm... linked the group to password spray attacks... The intrusions primarily singled out satellite, defense, and pharmaceutical sectors.'}, {'source_id': 'CTI_TEXTS_9', 'page': 1, 'quote': 'state-sponsored attacks targeting public and private entities in the Middle East and North Africa.'}]","{'actors': ['Pensive Ursa', 'Peach Sandstorm', 'Sea Turtle'], 'malware': ['Kazuar', 'FalseFont', 'SnappyTCP'], 'cves': [], 'sectors': ['Defense', 'Government', 'Military', 'Satellite', 'Pharmaceutical', 'Public Sector', 'Private Sector'], 'regions': ['Russia', 'Ukraine', 'Europe', 'Iran', 'Middle East', 'North Africa'], 'mitre': []}","{'from': '2013-01-01', 'to': '2023-12-31'}",high
3,"What vulnerabilities (CVEs) are tied to account takeover or execution-bypass behavior, and what exploitation outcomes are described?",True,"CVE-2023-7028 is described as a zero-click GitLab account takeover flaw enabling attackers to redirect password reset emails to an attacker-controlled address, change the password, and take over the account, creating risk of supply-chain attacks and proprietary code/API key exposure. CVE-2022-44698 is described as a zero-day used with Magniber ransomware distribution to bypass Mark-of-the-Web (MOTW) security warnings so malicious files execute without raising alerts.","[{'source_id': 'CTI_TEXTS_1', 'page': 1, 'quote': 'vulnerable to CVE-2023-7028, a zero-click account takeover flaw... send password reset emails... to an attacker-controlled email address... change the password and take over the account.'}, {'source_id': 'CTI_TEXTS_5', 'page': 1, 'quote': 'exploiting the zero-day vulnerability CVE-2022-44698 to bypass Mark-of-the-Web (MOTW) security warnings, and allowing malicious files to be executed without raising alerts.'}]","{'actors': [], 'malware': ['Magniber'], 'cves': ['CVE-2023-7028', 'CVE-2022-44698'], 'sectors': [], 'regions': [], 'mitre': []}","{'from': '2022-10-01', 'to': '2023-12-31'}",high
4,"Which ransomware families described include data-exposure extortion, and what specific leak channels or disclosure threats are named?",True,"FARGO ransomware includes an extortion threat to expose stolen files on Telegram if ransom demands are refused. Magniber is discussed primarily in the context of phishing distribution and execution-bypass, but the provided text does not explicitly describe its leak channel. The destructive attacks in Israel include data theft (PII and intellectual property) followed by wipers, but do not explicitly describe a ransom model.","[{'source_id': 'CTI_TEXTS_7', 'page': 1, 'quote': 'If the owners refuse to pay the ransom, the threat actors threaten to expose their stolen files on Telegram.'}]","{'actors': [], 'malware': ['FARGO', 'Magniber'], 'cves': [], 'sectors': [], 'regions': [], 'mitre': []}","{'from': '2022-02-01', 'to': None}",medium
5,"Which campaigns described rely on password spraying or brute-force as an access vector, and what target sets are described?",True,"Peach Sandstorm is linked by Microsoft to password spray attacks carried out against thousands of organizations globally, with intrusions primarily targeting satellite, defense, and pharmaceutical sectors. FARGO operators commonly compromise database servers via brute-force when targets have weak credentials, targeting vulnerable Microsoft SQL servers.","[{'source_id': 'CTI_TEXTS_4', 'page': 1, 'quote': 'Microsoft linked the group to password spray attacks carried out against thousands of organizations globally'}, {'source_id': 'CTI_TEXTS_7', 'page': 1, 'quote': 'Database servers are often compromised via brute-force... likely due to their target having weak credentials.'}]","{'actors': ['Peach Sandstorm'], 'malware': ['FARGO', 'FalseFont'], 'cves': [], 'sectors': ['Satellite', 'Defense', 'Pharmaceutical'], 'regions': ['Global'], 'mitre': []}","{'from': '2022-02-01', 'to': '2023-07-31'}",high
6,"Which malware families described use PowerShell in their execution chain or tooling, and what specific PowerShell-related behaviors are noted?",True,Jupyter’s newer variant is described as leveraging PowerShell command modifications and being capable of executing PowerShell scripts and commands. FARGO ransomware infections are described as starting by using powershell.exe (and cmd.exe) to download a .NET file to a compromised machine.,"[{'source_id': 'CTI_TEXTS_3', 'page': 1, 'quote': 'observed the new version of the malware leveraging PowerShell command modifications'}, {'source_id': 'CTI_TEXTS_3', 'page': 1, 'quote': 'executing PowerShell scripts and commands.'}, {'source_id': 'CTI_TEXTS_7', 'page': 1, 'quote': 'The ransomware infection starts by using powershell.exe and cmd.exe to download a .NET file'}]","{'actors': [], 'malware': ['Jupyter', 'FARGO'], 'cves': [], 'sectors': [], 'regions': [], 'mitre': []}","{'from': '2020-01-01', 'to': None}",high
7,"Which described threats explicitly reference supply chain risk, and what supply-chain-relevant impacts are stated?",True,"Internet-exposed GitLab instances vulnerable to CVE-2023-7028 are described as being at risk of supply chain attacks, including proprietary code disclosure and API key leaks, given GitLab’s role as a software development and project planning platform.","[{'source_id': 'CTI_TEXTS_1', 'page': 1, 'quote': 'these servers are at risk of supply chain attacks, proprietary code disclosure, API key leaks'}]","{'actors': [], 'malware': [], 'cves': ['CVE-2023-7028'], 'sectors': ['Software Development'], 'regions': [], 'mitre': []}","{'from': None, 'to': None}",high
8,"Which threats leverage DNS manipulation or hijacking, and what is the described objective of that technique?",True,Sea Turtle is described as primarily leveraging DNS hijacking to redirect targets querying a specific domain to an actor-controlled server capable of harvesting their credentials.,"[{'source_id': 'CTI_TEXTS_9', 'page': 1, 'quote': 'primarily leveraging DNS hijacking to redirect... to an actor-controlled server capable of harvesting their credentials'}]","{'actors': ['Sea Turtle'], 'malware': ['SnappyTCP'], 'cves': [], 'sectors': [], 'regions': ['Middle East', 'North Africa'], 'mitre': []}","{'from': '2017-01-01', 'to': '2023-12-31'}",high
9,"What phishing innovations or anti-filter techniques are described, and which actor is associated with them?",True,Star Blizzard is described as using password-protected PDF lure documents or links to cloud-based file-sharing platforms containing protected PDFs to sneak past email filters; the password is typically included in the same phishing email or a follow-on email.,"[{'source_id': 'CTI_TEXTS_8', 'page': 1, 'quote': 'Star Blizzard has started using password-protected PDF lure documents, or links to cloud-based file sharing platforms with the protected PDFs... The passwords... come packaged in the same phishing email'}]","{'actors': ['Star Blizzard'], 'malware': [], 'cves': [], 'sectors': ['Politics', 'Defense', 'NGO', 'Think Tank', 'Journalism', 'Academia', 'Intergovernmental Organization'], 'regions': ['NATO Member Countries', 'Ukraine'], 'mitre': []}","{'from': '2017-01-01', 'to': None}",high
10,"Which malware families are described as botnet-capable or DDoS-capable, and what enabling characteristics are provided?",True,"PurpleFox is described as a modular Windows botnet malware that can act as a distributed denial of service (DDoS) bot, includes a rootkit module for hiding/persistence across reboots, and switched to WebSocket for C2 communications for stealth.","[{'source_id': 'CTI_TEXTS_7B', 'page': 1, 'quote': 'PurpleFox... is a modular Windows botnet malware... can also act as a distributed denial of service (DDoS) bot.'}, {'source_id': 'CTI_TEXTS_7B', 'page': 1, 'quote': 'comes with a rootkit module allowing it to hide and persist between device reboots'}, {'source_id': 'CTI_TEXTS_7B', 'page': 1, 'quote': 'new versions of PurpleFox switched to using WebSocket for command and control (C2) communications for stealth.'}]","{'actors': [], 'malware': ['PurpleFox'], 'cves': [], 'sectors': [], 'regions': ['Ukraine'], 'mitre': []}","{'from': '2018-01-01', 'to': '2022-12-31'}",high
