q_id,category,system,question,gold_answer,prediction,Exact,Strict-Exact,F1,BLEU,ROUGE1,ROUGEL,BERT-F1,Halluc-Prec,Unknown,Answered,time_sec
1,simple,RAG,What type is incident inc-zimbra-cve-2023-37580-2023-06?,intrusion,"Based on the provided context, the incident inc-zimbra-cve-2023-37580-2023-06 is related to a 0-day exploit for a remote code execution (RCE) vulnerability in Zimbra Collaboration, which was discovered in June 2023. However, the context does not provide specific information about the type of incident it is.",0.0,0.0,0.0,0.0,0.0,0.0,0.7764307856559753,0.0,0.0,1.0,2.8892080150544643
1,simple,GRAG,What type is incident inc-zimbra-cve-2023-37580-2023-06?,intrusion,"I am not able to provide an answer to your question because the incident type ""inc-zimbra-cve-2023-37580-2023-06"" does not seem to be related to Computer-Telephony Integration (CTI), which is my area of expertise. I would recommend checking the source of the question or with the relevant team or individual who provided this incident type for more accurate information.",0.0,0.0,0.0,0.0,0.0,0.0,0.779638409614563,0.0,0.0,1.0,2.6694687586277723
1,simple,AGRAG,What type is incident inc-zimbra-cve-2023-37580-2023-06?,intrusion,intrusion,1.0,1.0,1.0,0.0,1.0,1.0,1.0000001192092896,1.0,0.0,1.0,5.101744117215276
1,simple,HRAG,What type is incident inc-zimbra-cve-2023-37580-2023-06?,intrusion, Zimbra Collaboration 0-day exploit,0.0,0.0,0.0,0.0,0.0,0.0,0.8144496083259583,0.0,0.0,1.0,11.880665182136
2,simple,RAG,What date is recorded for incident unit42-cl0p-activity-2023-01?,2023-01-01,The context does not provide the date for incident unit42-cl0p-activity-2023-01.,0.0,0.0,0.0,5.816635421147513,0.23529411764705882,0.23529411764705882,0.8285348415374756,0.0,0.0,1.0,1.0279430439695716
2,simple,GRAG,What date is recorded for incident unit42-cl0p-activity-2023-01?,2023-01-01,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8762923190370202
2,simple,AGRAG,What date is recorded for incident unit42-cl0p-activity-2023-01?,2023-01-01,2023-01-01,1.0,1.0,1.0,100.00000000000004,1.0,1.0,1.0,1.0,0.0,1.0,3.5703074475750327
2,simple,HRAG,What date is recorded for incident unit42-cl0p-activity-2023-01?,2023-01-01, 2023-01-01,1.0,1.0,1.0,100.00000000000004,1.0,1.0,1.0,1.0,0.0,1.0,8.254127593711019
3,simple,RAG,What is the publisher of source deep-instinct-muddyc2go?,Deep Instinct,"The publisher of the source deep-instinct-muddyc2go, according to the provided context, is the group H0lyGh0st, which has been developing and using the MuddyC2Go infrastructure.",0.0,0.0,0.0,0.0,0.14285714285714288,0.14285714285714288,0.8194868564605713,0.0,0.0,1.0,1.4305850407108665
3,simple,GRAG,What is the publisher of source deep-instinct-muddyc2go?,Deep Instinct,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6917784856632352
