id,question,answerable,answer,evidence,normalized_entities,timeframe,confidence
1,"Which malware families are explicitly linked by actor association, and what is the claimed relationship between them?",True,The threat actor behind TrickBot is described as also being connected to BazarLoader (aka BazarBackdoor).,"[{'source_id': 'CTI_TEXTS_1', 'page': 1, 'quote': 'According to the advisory, the threat actor behind TrickBot is also connected to BazarLoader.'}]","{'actors': ['TrickBot threat actor'], 'malware': ['TrickBot', 'BazarLoader', 'BazarBackdoor'], 'cves': [], 'sectors': [], 'regions': [], 'mitre': []}","{'from': None, 'to': None}",high
2,"What initial access vectors are described for BazarLoader, and what delivery artifacts are used to distribute it?",True,BazarLoader is primarily distributed via phishing emails that contain malicious attachments or links to websites (often free online file-hosting) that host malware; the emails use social engineering and are often disguised as business correspondence or other important messages.,"[{'source_id': 'CTI_TEXTS_1', 'page': 1, 'quote': 'BazarLoader is also primarily distributed via phishing emails that contain either malicious attachments or links to websites (typically free, online file-hosting solutions) that host malware.'}, {'source_id': 'CTI_TEXTS_1', 'page': 1, 'quote': 'These phishing emails use normal social engineering techniques... disguised as business correspondence or other important messages.'}]","{'actors': [], 'malware': ['BazarLoader', 'BazarBackdoor'], 'cves': [], 'sectors': [], 'regions': [], 'mitre': ['Phishing']}","{'from': None, 'to': None}",high
3,What command-and-control role is described for BazarLoader operations after payload distribution?,True,"After BazarLoader payload distribution, a command-and-control (C&C) server is used to deploy and install the backdoor.","[{'source_id': 'CTI_TEXTS_1', 'page': 1, 'quote': 'Once the payload is distributed, a command-and-control (C&C) server is used to deploy and install the backdoor.'}]","{'actors': [], 'malware': ['BazarLoader', 'BazarBackdoor'], 'cves': [], 'sectors': [], 'regions': [], 'mitre': ['Command and Control']}","{'from': None, 'to': None}",high
4,"What multi-step infection chain is described for Conti involving BazarLoader, and what hosting platform is mentioned in the delivery?",True,Conti can arrive via BazarLoader delivered through phishing emails containing a Google Drive link that downloads the malware.,"[{'source_id': 'CTI_TEXTS_3', 'page': 1, 'quote': 'Conti can arrive in the system through BazarLoader, which is delivered via phishing emails containing a Google Drive link that downloads the malware.'}]","{'actors': ['Conti'], 'malware': ['Conti', 'BazarLoader'], 'cves': [], 'sectors': [], 'regions': [], 'mitre': ['Phishing']}","{'from': None, 'to': None}",high
5,"Which CVEs are cited as exploitable initial access paths for Conti, and which enterprise products are implicated?",True,"Conti is described as arriving by exploiting FortiGate firewall vulnerabilities CVE-2018-13379 and CVE-2018-13374, and also via exploitation of the ProxyShell Microsoft Exchange vulnerabilities (CVE IDs not specified for ProxyShell in the provided text).","[{'source_id': 'CTI_TEXTS_3', 'page': 1, 'quote': 'the ransomware can arrive via exploiting the the FortiGate firewall vulnerabilities CVE-2018-13379 and CVE-2018-13374.'}, {'source_id': 'CTI_TEXTS_3', 'page': 1, 'quote': 'Conti can also arrive as a result of the exploitation of the ProxyShell Microsoft Exchange vulnerabilities.'}]","{'actors': ['Conti'], 'malware': ['Conti'], 'cves': ['CVE-2018-13379', 'CVE-2018-13374'], 'sectors': [], 'regions': [], 'mitre': ['Exploit Public-Facing Application']}","{'from': None, 'to': None}",medium
6,"After successful exploitation leading to Conti deployment, which post-exploitation tool is used to establish a foothold?",True,"After successful exploitation, Conti deploys Cobalt Strike to gain a foothold on the system.","[{'source_id': 'CTI_TEXTS_3', 'page': 1, 'quote': 'After successfully exploiting the application, the ransomware deploys Cobalt Strike to gain a foothold on the system.'}]","{'actors': ['Conti'], 'malware': ['Conti', 'Cobalt Strike'], 'cves': [], 'sectors': [], 'regions': [], 'mitre': ['Command and Control']}","{'from': None, 'to': None}",high
7,"Which system discovery commands/tools are attributed to Conti operators, and what purpose do they serve?",True,"Conti operators use tools such as Whoami, Nltest, and Net to understand where they are in the system and what rights and permissions they have.","[{'source_id': 'CTI_TEXTS_3', 'page': 1, 'quote': 'The Conti group uses tools such as Whoami, Nltest, and Net. These tools give the operators information about where they are in the system, and what rights and permissions they have.'}]","{'actors': ['Conti'], 'malware': ['Conti'], 'cves': [], 'sectors': [], 'regions': [], 'mitre': ['Discovery']}","{'from': None, 'to': None}",high
8,"Which tooling is described for identifying shares used for exfiltration and ransomware deployment, and how does this relate to double extortion behavior?",True,Conti operators use ShareFinder to identify shares needed for exfiltration and ransomware deployment; this is described in the context of double extortion where actors actively look for files to exfiltrate.,"[{'source_id': 'CTI_TEXTS_3', 'page': 1, 'quote': 'Since the operators employ double extortion tactics, they actively look for files to exfiltrate... use tools such as ShareFinder to identify the shares needed for exfiltration and ransomware deployment.'}]","{'actors': ['Conti'], 'malware': ['Conti', 'ShareFinder'], 'cves': [], 'sectors': [], 'regions': [], 'mitre': ['Exfiltration']}","{'from': None, 'to': None}",high
9,"Which privilege escalation methods are described for Conti when domain administrator credentials are not sufficient, and what are the referenced CVEs?",True,"Conti may use Zerologon (CVE-2020-1472) and PrintNightmare (CVE-2021-1675) to elevate privilege and strengthen foothold, in addition to seeking domain admin credentials.","[{'source_id': 'CTI_TEXTS_3', 'page': 1, 'quote': 'they may also use a couple of exploits like Zerologon (CVE-2020-1472) and PrintNightmare (CVE-2021-1675), to elevate their privilege'}]","{'actors': ['Conti'], 'malware': ['Conti'], 'cves': ['CVE-2020-1472', 'CVE-2021-1675'], 'sectors': [], 'regions': [], 'mitre': ['Privilege Escalation']}","{'from': None, 'to': None}",high
10,"What changes across ransomware variants are described for TargetCompany, and which encryption algorithms are associated with later variants?",True,"TargetCompany ransomware evolution is described as including changes in encryption algorithm and decryptor characteristics, along with changing file extension naming. Later variants are observed using a combination of Chacha20, Curve 25519, and AES-128 to encrypt victim files.","[{'source_id': 'CTI_TEXTS_2', 'page': 1, 'quote': 'each major update of the ransomware entailed a change in the encryption algorithm and different decryptor characteristics... accompanied by a change in file name extensions'}, {'source_id': 'CTI_TEXTS_2', 'page': 1, 'quote': ""These later variants were observed using a combination of Chacha20, Curve 25519, and AES-128 algorithms to encrypt the victim's files.""}]","{'actors': ['TargetCompany'], 'malware': ['TargetCompany ransomware', 'Fargo', 'Mallox'], 'cves': [], 'sectors': [], 'regions': [], 'mitre': ['Data Encrypted for Impact']}","{'from': '2022-01-01', 'to': '2023-01-31'}",medium
