id,category,question,answerable,answer
1,simple,What malware family is assigned to DoublePulsar?,True,Backdoor
2,simple,What is the incident type of buckeye-doublepulsar-bemstour-2016-03?,True,intrusion
3,simple,What date is stored on incident sonicwall-2023-12-26-ofbiz-probes-cve-2023-51467?,True,2023-12-26
4,simple,What publisher is recorded for source google-chrome-advisory-cve-2022-2856?,True,Google
5,simple,What published_date is recorded for CVE-2022-2856?,True,2022-07-19
6,simple,What service value is set for one C2 infrastructure used by BazarLoader deployment?,True,C&C server
7,simple,What service is recorded for the TargetCompany negotiation infrastructure?,True,Tor .onion negotiation site
8,simple,What service is recorded for the TargetCompany data leak infrastructure?,True,Data leak site (Mallox)
9,simple,What technique tactic is set for T1566 in the dataset?,True,Initial Access
10,simple,What technique tactic is set for T1068?,True,Privilege Escalation
11,simple,What technique tactic is set for T1083?,True,Discovery
12,simple,What technique tactic is set for T1021?,True,Lateral Movement
13,simple,What family is set for the malware TargetCompany?,True,Ransomware
14,simple,What published_on date is recorded for source sonicwall-apache-ofbiz-cve-2023-51467?,True,2023-12-26
15,simple,What CVE summary indicates an integer overflow in Skia affecting Chrome <119.0.6045.199?,True,CVE-2023-6345
16,single_hop,What malware does Ryuk use as a dropper?,True,BazarLoader
17,single_hop,Which alias malware is used by BazarLoader?,True,BazarBackdoor
18,single_hop,Which technique ID is linked to BazarLoader with phase Execution?,True,T1204
19,single_hop,Which technique ID is linked to BazarLoader with phase Command and Control?,True,T1071.001
20,single_hop,What C2 service does BazarLoader abuse?,True,C&C server
21,single_hop,Which malware is used by the threat actor TrickBot threat actor besides TrickBot?,True,BazarLoader
22,single_hop,Which malware does the Conti threat actor use?,True,Conti
23,single_hop,Which CVE does Conti malware exploit that is labeled Zerologon?,True,CVE-2020-1472
24,single_hop,Which tool does Conti malware deploy to gain a foothold?,True,Cobalt Strike
25,single_hop,Which tools are directly used by threat actor Conti for enumeration?,True,"Whoami, Nltest, Net, ShareFinder"
26,single_hop,Which malware is delivered by Bemstour according to actor use relationships?,True,DoublePulsar
27,single_hop,Which CVEs are exploited by the tool Bemstour?,True,"CVE-2019-0703, CVE-2017-0143"
28,single_hop,Which CVE is exploited by Apache OFBiz with an exploits relationship dated 2023-12-26?,True,CVE-2023-51467
29,single_hop,Which CVE is supported_by the Google advisory source with page advisory?,True,CVE-2022-2856
30,single_hop,What threat actor is the OFBiz probes incident attributed_to with low confidence?,True,Unknown groups
31,multi_hop,"Which techniques are used by malware BazarLoader, listing technique IDs?",True,"T1566, T1204, T1102, T1071.001"
32,multi_hop,Which C2 services are abused by malware used by TargetCompany threat actor?,True,"Tor .onion negotiation site, Data leak site (Mallox)"
33,multi_hop,What is the date on TargetCompany has_alias relationships to Fargo and Mallox?,True,2022-01-01
34,multi_hop,How many distinct tools are used by threat actor Conti?,True,4
35,multi_hop,How many CVEs are exploited by Conti malware?,True,4
36,multi_hop,How many techniques are linked to threat actor Conti via used_technique?,True,3
37,multi_hop,Which CVEs are exploited by tools used by Buckeye?,True,"CVE-2019-0703, CVE-2017-0143"
38,multi_hop,What date is shared by Buckeye incident occurred_on and actor uses relationships?,True,2016-03-01
39,multi_hop,How many CVEs are tied to the Buckeye March 2016 incident via exploited_in?,True,2
40,multi_hop,Which CVEs are exploited through tools connected to Follina?,True,CVE-2022-30190
41,multi_hop,How many tools exploit CVE-2022-30190 in the graph?,True,3
42,multi_hop,Which technique IDs are supported_by CVE-2022-30190?,True,"T1204, T1059.001"
43,multi_hop,How many CVEs are connected to Apache OFBiz via exploits?,True,2
44,multi_hop,Which publisher supports CVE-2023-51467 through a supported_by relationship?,True,SonicWall
45,multi_hop,What is the earliest published_date among CVEs with published_date properties?,True,2022-07-19
46,unanswerable,What CVSS score is recorded for CVE-2022-2856?,False,
47,unanswerable,Which countries were targeted in the OFBiz probe incident?,False,
48,unanswerable,What file hashes are associated with Bemstour samples?,False,
49,unanswerable,Which industry sectors are targeted by Conti in this graph?,False,
50,unanswerable,What specific Chrome operating systems are affected by CVE-2023-6345?,False,
