id,question,answerable,answer,evidence,normalized_entities,timeframe,confidence
1,"Which threat actor uses email-based initial infection vectors to gain access and then hands off that access to other threat actors, frequently leading to ransomware deployment?",True,"Microsoft-tracked Storm-0324 is described as gaining initial access via email-based initial infection vectors and handing off access to other threat actors, with those handoffs frequently leading to ransomware deployment.","[{'source_id': 'CTI_TEXTS_1', 'page': 1, 'quote': 'Storm-0324 is a financially motivated group known to gain initial access using email-based initial infection vectors and then hand off access to compromised networks to other threat actors. These handoffs frequently lead to ransomware deployment.'}]","{'actors': ['Storm-0324'], 'malware': [], 'cves': [], 'sectors': [], 'regions': [], 'mitre': []}","{'from': None, 'to': None}",high
2,"What malware is Storm-0324 known to distribute, and which ransomware-as-a-service actor does that malware facilitate access for? (multi-hop)",True,"Storm-0324 is known to distribute JSSLoader, which facilitates access for the RaaS actor Sangria Tempest.","[{'source_id': 'CTI_TEXTS_1', 'page': 1, 'quote': 'The actor is known to distribute the JSSLoader malware, which facilitates access for the ransomware-as-a-service (RaaS) actor Sangria Tempest'}]","{'actors': ['Storm-0324', 'Sangria Tempest'], 'malware': ['JSSLoader'], 'cves': [], 'sectors': [], 'regions': [], 'mitre': []}","{'from': None, 'to': None}",high
3,Which alternative threat group names are reported to overlap with Storm-0324? (multi-hop),True,Storm-0324 is reported to overlap with TA543 and Sagrid.,"[{'source_id': 'CTI_TEXTS_1', 'page': 1, 'quote': 'Storm-0324 (DEV-0324), which overlaps with threat groups tracked by other researchers as TA543 and Sagrid'}]","{'actors': ['Storm-0324', 'TA543', 'Sagrid'], 'malware': [], 'cves': [], 'sectors': [], 'regions': [], 'mitre': []}","{'from': None, 'to': None}",high
4,Which phishing delivery channel is described for Storm-0324 payload distribution using an open-source tool? (multi-hop),True,Storm-0324 was observed sending phishing lures through Microsoft Teams chats using an open-source tool.,"[{'source_id': 'CTI_TEXTS_1', 'page': 1, 'quote': 'Storm-0324 was observed distributing payloads using an open-source tool to send phishing lures through Microsoft Teams chats.'}]","{'actors': ['Storm-0324'], 'malware': [], 'cves': [], 'sectors': [], 'regions': [], 'mitre': []}","{'from': '2023-07-01', 'to': None}",medium
5,Which campaign is described as automatically targeting exposed identity and access management credentials in public GitHub repositories? (multi-hop),True,Unit 42 describes an active campaign called EleKtra-Leak that performs automated targeting of exposed IAM credentials within public GitHub repositories.,"[{'source_id': 'CTI_TEXTS_2', 'page': 1, 'quote': 'an active campaign we are calling EleKtra-Leak, which performs automated targeting of exposed identity and access management (IAM) credentials within public GitHub repositories'}]","{'actors': [], 'malware': [], 'cves': [], 'sectors': [], 'regions': [], 'mitre': []}","{'from': None, 'to': None}",high
6,"In the EleKtra-Leak activity, what cloud resource is created after compromised credentials are obtained, and for what purpose is it used? (multi-hop)",True,The actor created multiple AWS EC2 instances and used them for wide-ranging and long-lasting cryptojacking operations.,"[{'source_id': 'CTI_TEXTS_2', 'page': 1, 'quote': 'the threat actor... was able to create multiple AWS Elastic Compute (EC2) instances that they used for wide-ranging and long-lasting cryptojacking operations'}]","{'actors': [], 'malware': [], 'cves': [], 'sectors': [], 'regions': [], 'mitre': []}","{'from': None, 'to': None}",high
7,Which CVE is described as a remote code execution vulnerability affecting outdated Atlassian Confluence servers and enabling unauthenticated template injection? (multi-hop),True,"CVE-2023-22527 is described as an RCE flaw in outdated Atlassian Confluence versions, characterized as a template injection weakness allowing unauthenticated remote code execution.","[{'source_id': 'CTI_TEXTS_3', 'page': 1, 'quote': 'exploitation attempts for the CVE-2023-22527 remote code execution flaw... described as a template injection weakness that allows unauthenticated remote attackers to execute code'}]","{'actors': [], 'malware': [], 'cves': ['CVE-2023-22527'], 'sectors': [], 'regions': [], 'mitre': []}","{'from': None, 'to': None}",high
8,Which command is reported as being executed during exploitation attempts of the Confluence RCE vulnerability to gather privilege context? (multi-hop),True,Attackers are described as executing the 'whoami' command during callbacks to gather information about access level and privileges on the system.,"[{'source_id': 'CTI_TEXTS_3', 'page': 1, 'quote': ""attackers are trying out callbacks by executing the 'whoami' command to gather information about the level of access and privileges on the system""}]","{'actors': [], 'malware': [], 'cves': ['CVE-2023-22527'], 'sectors': [], 'regions': [], 'mitre': []}","{'from': None, 'to': None}",high
9,Which Android banking malware uses a dropper framework to deploy itself and can receive commands via Firebase Cloud Messaging without an ongoing connection?,True,Vultur is described as being deployed via the Brunhilda dropper framework and as receiving commands via FCM to trigger functionality without requiring an ongoing connection to the device.,"[{'source_id': 'CTI_TEXTS_4', 'page': 1, 'quote': 'along with the dropper-framework called Brunhilda, which deploys Vultur... The message sent by the malware operator through FCM can contain a command... This eliminates the need for an ongoing connection with the device'}]","{'actors': [], 'malware': ['Vultur', 'Brunhilda'], 'cves': [], 'sectors': ['Financial'], 'regions': [], 'mitre': []}","{'from': '2021-03-01', 'to': None}",medium
10,What social-engineering infection chain is described as leading to Vultur deployment on Android devices?,True,"The chain starts with an SMS instructing the victim to call a phone number about an unauthorized large transaction; during the call, a second SMS provides a link to a modified McAfee Security package that ultimately deploys Vultur.","[{'source_id': 'CTI_TEXTS_4', 'page': 1, 'quote': 'The infection chain starts with a SMS message instructing the victim to call a phone number... During the call, a second SMS message that includes a link to a modified McAfee Security package is received.'}]","{'actors': [], 'malware': ['Vultur'], 'cves': [], 'sectors': ['Financial'], 'regions': [], 'mitre': []}","{'from': None, 'to': None}",high
11,Which sectors are reported as being targeted by Cuba ransomware operators during a period of increased activity? (multi-hop),True,"Cuba ransomware operators reportedly targeted organizations across government, healthcare, information technology, manufacturing, and finance.","[{'source_id': 'CTI_TEXTS_5', 'page': 1, 'quote': 'The sectors included government, healthcare, information technology, manufacturing, and finance.'}]","{'actors': ['Cuba ransomware'], 'malware': ['Cuba ransomware'], 'cves': [], 'sectors': ['Government', 'Healthcare', 'Information Technology', 'Manufacturing', 'Finance'], 'regions': [], 'mitre': []}","{'from': None, 'to': None}",medium
12,What file extension is reported to be used by Cuba ransomware operators when encrypting files?,True,Cuba ransomware operators are described as encrypting files using the '.cuba' extension.,"[{'source_id': 'CTI_TEXTS_5', 'page': 1, 'quote': ""encrypting files using the '.cuba' extension""}]","{'actors': ['Cuba ransomware'], 'malware': ['Cuba ransomware'], 'cves': [], 'sectors': [], 'regions': [], 'mitre': []}","{'from': None, 'to': None}",high
13,Which CVE is described as a Chrome V8 out-of-bounds memory access zero-day exploited in the wild and what impact is described?,True,"CVE-2024-0519 is described as a high-severity Chrome V8 out-of-bounds memory access zero-day exploited in the wild, enabling access to data beyond the memory buffer via heap corruption and potentially triggering a crash.","[{'source_id': 'CTI_TEXTS_6', 'page': 1, 'quote': 'The high-severity zero-day vulnerability (CVE-2024-0519)... out-of-bounds memory access weakness in the Chrome V8 JavaScript engine... exploit... to gain access to data beyond the memory buffer through heap corruption, providing them access to sensitive information or triggering a crash.'}]","{'actors': [], 'malware': [], 'cves': ['CVE-2024-0519'], 'sectors': [], 'regions': [], 'mitre': []}","{'from': None, 'to': None}",high
14,"Which protection mechanism is described as potentially bypassable using the Chrome V8 zero-day, and what does that enable for follow-on exploitation? (multi-hop)",True,"The CVE-2024-0519 description notes it could be exploited to bypass ASLR, making it easier to achieve code execution via another weakness.","[{'source_id': 'CTI_TEXTS_6', 'page': 1, 'quote': 'could also be exploited to bypass protection mechanisms such as ASLR to make it easier to achieve code execution via another weakness'}]","{'actors': [], 'malware': [], 'cves': ['CVE-2024-0519'], 'sectors': [], 'regions': [], 'mitre': []}","{'from': None, 'to': None}",high
15,Which malware family is described as exploiting known vulnerabilities to target SOHO routers from multiple vendors and enabling LAN access plus DNS/HTTPS hijacking?,True,"ZuoRAT is described as exploiting known vulnerabilities to target SOHO routers (including Cisco, Netgear, and Asus), enabling local LAN access and staging man-in-the-middle attacks through DNS and HTTPS hijacking.","[{'source_id': 'CTI_TEXTS_7', 'page': 1, 'quote': 'The malware, dubbed ZuoRAT... is exploiting known vulnerabilities to target popular SOHO routers from Cisco Systems, Netgear, Asus and others. The malware... can access the local LAN... and stage man-in-the-middle attacks through DNS and HTTPS hijacking'}]","{'actors': [], 'malware': ['ZuoRAT'], 'cves': [], 'sectors': [], 'regions': [], 'mitre': []}","{'from': '2020-04-01', 'to': None}",medium
16,"Which email-server product vulnerability is described as exploited by multiple groups to steal email data, credentials, and authentication tokens, and what vulnerability class is it? (multi-hop)",True,"CVE-2023-37580 affecting Zimbra Collaboration is described as a reflected cross-site scripting (XSS) vulnerability exploited by four groups to steal email data, user credentials, and authentication tokens.","[{'source_id': 'CTI_TEXTS_8', 'page': 1, 'quote': 'now patched as CVE-2023-37580... TAG has observed four different groups exploiting the same bug to steal email data, user credentials, and authentication tokens... CVE-2023-37580 is a reflected cross-site scripting (XSS) vulnerability.'}]","{'actors': [], 'malware': [], 'cves': ['CVE-2023-37580'], 'sectors': [], 'regions': [], 'mitre': []}","{'from': '2023-06-01', 'to': None}",high
