id,question,answerable,answer,evidence,normalized_entities,timeframe,confidence
1,"Which threat actors are linked to a specific CVE that enabled theft of email data, user credentials, and authentication tokens from government organizations, and what product was affected?",True,"Multiple (at least four) separate cyberattack groups exploited CVE-2023-37580 in Zimbra Collaboration Suite (ZCS) to steal email data, user credentials, and authentication tokens from government organizations globally. The affected product was the Zimbra Collaboration Suite (ZCS) email server platform.","[{'source_id': 'CTI_TEXTS_1', 'page': 1, 'quote': 'At least four separate cyberattack groups have used ... vulnerability in the Zimbra Collaboration Suite (ZCS) to steal email data, user credentials, and authentication tokens from government organizations globally.'}, {'source_id': 'CTI_TEXTS_1', 'page': 1, 'quote': 'The bug (CVE-2023-37580) is a reflected cross-site scripting (XSS) vulnerability in the Zimbra email server'}]","{'actors': ['Unknown cyberattack groups'], 'malware': [], 'cves': ['CVE-2023-37580'], 'sectors': ['Government'], 'regions': ['Global'], 'mitre': []}","{'from': '2023-06-01', 'to': '2023-07-25'}",medium
2,"What initial access technique was used by a Russian state-sponsored actor to compromise corporate email accounts at a technology company, and what type of environment was initially accessed?",True,"The actor used a password spray attack as the initial access technique, accessing a legacy non-production test tenant account as the initial foothold.","[{'source_id': 'CTI_TEXTS_3', 'page': 1, 'quote': 'the threat actors breached their systems ... when they conducted a password spray attack to access a legacy non-production test tenant account'}]","{'actors': ['Midnight Blizzard', 'Nobelium', 'APT29'], 'malware': [], 'cves': [], 'sectors': ['Information technology'], 'regions': ['Russia'], 'mitre': ['Password Spraying']}","{'from': '2023-11-01', 'to': '2024-01-12'}",high
3,"Which internal organizational functions were impacted by stolen corporate email data in the described state-sponsored intrusion, and what data types were taken?",True,"Email accounts belonging to members of leadership and employees in cybersecurity and legal departments were breached, and emails and attachments were stolen.","[{'source_id': 'CTI_TEXTS_3', 'page': 1, 'quote': ""breached email accounts included members of Microsoft's leadership team and employees in the cybersecurity and legal departments, from which the hackers stole emails and attachments""}]","{'actors': ['Midnight Blizzard', 'Nobelium', 'APT29'], 'malware': [], 'cves': [], 'sectors': ['Information technology'], 'regions': ['Russia'], 'mitre': []}","{'from': '2023-11-01', 'to': '2024-01-12'}",high
4,"Which threat actors abused a Windows application deployment mechanism to distribute malware that could lead to ransomware, and what mechanism was abused?",True,"Threat actors including Storm-0569, Storm-1113, Sangria Tempest, and Storm-1674 abused the ms-appinstaller URI scheme (App Installer) to distribute malware that may lead to ransomware distribution.","[{'source_id': 'CTI_TEXTS_4', 'page': 1, 'quote': 'Microsoft Threat Intelligence has observed threat actors, including financially motivated actors like Storm-0569, Storm-1113, Sangria Tempest, and Storm-1674, utilizing the ms-appinstaller URI scheme (App Installer) to distribute malware.'}, {'source_id': 'CTI_TEXTS_4', 'page': 1, 'quote': 'as an access vector for malware that may lead to ransomware distribution'}]","{'actors': ['Storm-0569', 'Storm-1113', 'Sangria Tempest', 'Storm-1674'], 'malware': ['Malware (unspecified)'], 'cves': [], 'sectors': [], 'regions': [], 'mitre': ['User Execution']}","{'from': '2023-11-15', 'to': None}",high
5,"What delivery vectors were used to distribute signed malicious application packages abusing the MSIX format and ms-appinstaller, and what user lure was used to drive traffic to the hosting websites?",True,Signed malicious MSIX application packages were distributed via websites accessed through malicious advertisements for legitimate popular software. A separate vector involved phishing through Microsoft Teams (noted for Storm-1674).,"[{'source_id': 'CTI_TEXTS_4', 'page': 1, 'quote': 'These threat actors distribute signed malicious MSIX application packages using websites accessed through malicious advertisements for legitimate popular software.'}, {'source_id': 'CTI_TEXTS_4', 'page': 1, 'quote': 'A second vector of phishing through Microsoft Teams is also in use by Storm-1674.'}]","{'actors': ['Storm-1674'], 'malware': ['Malware kit (MSIX/ms-appinstaller abuse)'], 'cves': [], 'sectors': [], 'regions': [], 'mitre': ['Phishing']}","{'from': '2023-11-15', 'to': None}",medium
6,"Which malware campaign used malicious domains impersonating a legitimate web application to deliver a cryptocurrency-redirecting payload, and what were the observed targeting characteristics?",True,"The CryptoClippy cryptocurrency clipper campaign used malicious domains impersonating WhatsApp Web to trick users into downloading malicious files. The campaign targeted Portuguese speakers and victims were found across manufacturing, IT services, and real estate industries.","[{'source_id': 'CTI_TEXTS_5', 'page': 1, 'quote': 'the campaign uses a type of malware known as a cryptocurrency clipper ... The malware, which we call CryptoClippy'}, {'source_id': 'CTI_TEXTS_5', 'page': 1, 'quote': 'redirect victims to malicious domains that are impersonating the legitimate WhatsApp Web application'}, {'source_id': 'CTI_TEXTS_5', 'page': 1, 'quote': 'targeting Portuguese speakers'}, {'source_id': 'CTI_TEXTS_5', 'page': 1, 'quote': 'found victims across manufacturing, IT services, and real estate industries'}]","{'actors': ['Unknown threat actors'], 'malware': ['CryptoClippy'], 'cves': [], 'sectors': ['Manufacturing', 'Information technology', 'Real estate'], 'regions': [], 'mitre': []}","{'from': None, 'to': None}",medium
7,"What specific data-manipulation behavior does the cryptocurrency clipper perform, and what is the intended financial outcome for the threat actor?",True,"CryptoClippy monitors the victim’s clipboard for copied cryptocurrency wallet addresses and replaces the legitimate address with the threat actor’s address, causing cryptocurrency to be sent to the threat actor.","[{'source_id': 'CTI_TEXTS_5', 'page': 1, 'quote': 'monitors the victim’s clipboard ... seeks to replace the user’s actual wallet address with the threat actor’s, causing the user to inadvertently send cryptocurrency to the threat actor'}]","{'actors': ['Unknown threat actors'], 'malware': ['CryptoClippy'], 'cves': [], 'sectors': [], 'regions': [], 'mitre': []}","{'from': None, 'to': None}",high
8,"Which ransomware operation is linked to multiple rebrands and a splinter relationship with another ransomware group, and what are the named rebrands and linkage described?",True,"Quantum ransomware is linked to the Quantum Locker operation and has had rebrands including AstroLocker, MountLocker, and XingLocker. It is described as a splinter group from Conti, and the operation was taken over by “Conti Team Two.”","[{'source_id': 'CTI_TEXTS_2', 'page': 1, 'quote': 'Quantum ransomware is linked to the Quantum Locker operation. Quantum Locker has had a few rebrands (AstroLocker, MountLocker, and XingLocker).'}, {'source_id': 'CTI_TEXTS_2', 'page': 1, 'quote': 'AdvIntel ... confirmed that Quantum is a splinter group from Conti ... taken over by Conti Team Two'}]","{'actors': ['Quantum Locker', 'Conti', 'Conti Team Two'], 'malware': ['Quantum ransomware'], 'cves': [], 'sectors': [], 'regions': [], 'mitre': []}","{'from': '2021-08-01', 'to': '2022-06-30'}",medium
9,How does the call-back phishing method described enable initial access and subsequent network compromise using legitimate remote access software?,True,"In the described call-back phishing (BazarCall) method, victims receive emails alleging a paid subscription is set for renewal and are urged to call a phone number to cancel. During the call, the threat actor uses social engineering to convince the victim to start a remote access session using legitimate software controlled by the intruder, enabling the intruder to attempt to compromise the victim’s network while the victim is distracted.","[{'source_id': 'CTI_TEXTS_2', 'page': 1, 'quote': 'BazarCall ... involves emailing victims ... renewal can be cancelled if the victim calls a specific number.'}, {'source_id': 'CTI_TEXTS_2', 'page': 1, 'quote': 'convinces the victim via social engineering to start a remote access session by the use of legitimate software controlled by a network intruder'}]","{'actors': ['Quantum ransomware'], 'malware': [], 'cves': [], 'sectors': [], 'regions': [], 'mitre': ['Social Engineering']}","{'from': '2022-06-01', 'to': '2022-06-30'}",medium
10,"Which organizations and sectors are described as victims of a ransomware group that exploited a managed file transfer vulnerability, and what types of data were stolen in one described breach?",True,"Clop operators exploited a SolarWinds Serv-U vulnerability to breach corporate networks and deliver Clop ransomware. A described victim was a maritime services company headquartered in Singapore. In that breach, stolen data included classified proprietary commercial information and employee data such as bank account details, payroll information, passports, email addresses, and internal correspondence.","[{'source_id': 'CTI_TEXTS_6', 'page': 1, 'quote': 'Clop operators ... exploited a SolarWinds Serv-U vulnerability to breach corporate networks and deliver the Clop ransomware'}, {'source_id': 'CTI_TEXTS_6', 'page': 1, 'quote': 'A maritime services giant with headquarters in Singapore also fell prey to Clop'}, {'source_id': 'CTI_TEXTS_6', 'page': 1, 'quote': 'steal classified proprietary commercial information and employee data that included bank account details, payroll information, passports, email addresses, and internal correspondence'}]","{'actors': ['Clop'], 'malware': ['Clop ransomware'], 'cves': ['CVE-2021-35211'], 'sectors': ['Maritime'], 'regions': ['Singapore'], 'mitre': []}","{'from': '2021-11-01', 'to': '2021-11-30'}",medium
