id,category,question,answerable,answer
1,simple,What sponsor is listed for Kimsuky?,True,North Korea
2,simple,What motivation is set on Fancy Bear’s node?,True,intelligence gathering
3,simple,What date is stored for incident fancybear-2022-07-follina-maldocs?,True,2022-07-01
4,simple,What technique tactic is assigned to T1110?,True,Credential Access
5,simple,What exfiltration value is recorded for incident fancybear-2016-wada?,True,true
6,simple,What incident type is recorded for hikvision-cve-2021-36260-report?,True,intrusion
7,simple,What NIST score is stated in the CVE-2021-36260 summary?,True,9.8/10
8,simple,What date is stored on incident text-1-inc-1?,True,2024-01-01
9,simple,What publisher is recorded for source unit42_munchkin_blackcat?,True,Unit 42
10,simple,What tactic is assigned to technique T1578?,True,Defense Evasion
11,simple,What date is stored on incident rapid7-activemq-cve-2023-46604-1?,True,2023-10-27
12,simple,What incident type is stored for rapid7-activemq-cve-2023-46604-2?,True,ransomware
13,simple,What published_date is set for CVE-2023-46604?,True,2023-10-27
14,simple,What sector is set on victim Democratic National Committee (DNC)?,True,Government
15,simple,What country name is stored for iso2 KR?,True,South Korea
16,single_hop,Which motivation type is Kimsuky linked to via motivated_by?,True,espionage
17,single_hop,Which three alias actors does Fancy Bear have via has_alias?,True,"APT 28, Sofacy, Swallowtail"
18,single_hop,What is the has_alias relationship date from Fancy Bear to APT 28?,True,2008-01-01
19,single_hop,Which country is Hikvision located_in?,True,United States
20,single_hop,Which CVE is exploited_in by incident fancybear-2022-07-follina-maldocs?,True,CVE-2022-30190
21,single_hop,What first_seen date is on exploited_in from fancybear-2022-07-follina-maldocs to CVE-2022-30190?,True,2022-07-01
22,single_hop,Which technique is used_technique by incident fancybear-2016-dnc?,True,"T1566, T1110"
23,single_hop,Which victim is targeted by incident fancybear-2016-wada?,True,World Anti-Doping Agency (WADA)
24,single_hop,Which tool does BlackCat use via uses?,True,Munchkin
25,single_hop,Which malware does Munchkin use via uses?,True,BlackCat
26,single_hop,Which technique does BlackCat link to via used_technique?,True,T1578
27,single_hop,Which two CVEs are exploited_in by incident text-1-inc-1?,True,"CVE-2024-0200, CVE-2024-0507"
28,single_hop,Which sector is GitHub connected to via targets_sector?,True,Technology
29,single_hop,Which CVE is exploited_in by incident hikvision-cve-2021-36260-report?,True,CVE-2021-36260
30,single_hop,Which threat actors are attributed_to incident hikvision-cve-2021-36260-report?,True,"MISSION2025/APT41, APT10, Unknown Russian threat actor groups"
31,multi_hop,Which country is targeted by campaigns that include Kimsuky?,True,South Korea
32,multi_hop,Which malware are both used by Kimsuky and included in its campaign?,True,"AppleSeed, TinyNuke"
33,multi_hop,Which tool is used by Kimsuky and included in its campaign?,True,Meterpreter
34,multi_hop,Which technique_id was used in incidents attributed to Fancy Bear?,True,"T1566, T1110"
35,multi_hop,Which incident attributed to Fancy Bear has the latest date?,True,fancybear-2022-07-follina-maldocs
36,multi_hop,Which CVE is linked to Fancy Bear through an incident exploited_in?,True,CVE-2022-30190
37,multi_hop,How many incidents are attributed_to Fancy Bear?,True,3
38,multi_hop,How many distinct victims are targeted by Fancy Bear incidents?,True,2
39,multi_hop,How many incidents target a victim in the Government sector?,True,1
40,multi_hop,How many incidents have exfiltration set true and are attributed to Fancy Bear?,True,1
41,multi_hop,How many CVEs are exploited_in by incidents dated 2023-10-27?,True,1
42,multi_hop,How many ransomware incidents on 2023-10-27 involve HelloKitty?,True,2
43,multi_hop,How many distinct victims are targeted by incidents exploiting CVE-2023-46604?,True,2
44,multi_hop,Which technique_id is used by incidents exploiting CVE-2023-46604?,True,T1190
45,multi_hop,How many sources support CVE-2023-46604 via supported_by?,True,1
46,unanswerable,What CVSS score is recorded for CVE-2023-46604?,False,
47,unanswerable,What is the URL for source rapid7-observed-activemq-cve-2023-46604-hellokitty?,False,
48,unanswerable,Which ransomware note filename was used to attribute activity to HelloKitty?,False,
49,unanswerable,Which GitHub Enterprise Server versions are affected by CVE-2024-0507?,False,
50,unanswerable,Which specific Hikvision camera models are affected by CVE-2021-36260?,False,
