id,question,answerable,answer,evidence,normalized_entities,timeframe,confidence
1,"Which malware families are explicitly described as stealing credentials or confidential data, and what specific data types do they target?",True,"Credential/confidential-data theft is explicitly described for multiple malware families. Androxgh0st targets Laravel .env files to steal confidential information such as cloud and SaaS credentials (AWS, Microsoft Office 365, SendGrid, Twilio) and can also scan/exploit exposed SMTP credentials and APIs. Jupyter (Yellow Cockatoo/Solarmarker/Polazert) is described harvesting credential material including browser password-manager data, cookies, and logins for crypto-wallets and remote access applications. A WhatsApp-delivered malicious banking APK impersonates a bank KYC app to trick users into submitting sensitive information, which is then sent to a C2 server and the attacker’s hard-coded phone number.","[{'source_id': 'CTI_TEXTS-2', 'page': 1, 'quote': 'Androxgh0st is ... used to target .env files that contain confidential information, such as credentials ... i.e., Amazon Web Services [AWS], Microsoft Office 365, SendGrid, and Twilio'}, {'source_id': 'CTI_TEXTS-4', 'page': 1, 'quote': 'harvest a variety of credential information ... cookies, Web data, browser password manager information ... such as logins for crypto-wallets and remote access apps'}, {'source_id': 'CTI_TEXTS-1', 'page': 1, 'quote': ""disguises itself as the bank's official Know Your Customer (KYC) application to trick users into submitting their sensitive information""}]","{'actors': [], 'malware': ['Androxgh0st', 'Jupyter', 'Banking Trojan APK (malicious KYC app)'], 'cves': [], 'sectors': ['Banking'], 'regions': ['India'], 'mitre': []}","{'from': None, 'to': None}",high
2,"Which vulnerabilities (CVEs) are directly linked to botnet or worm activity, and what platforms or device types are impacted?",True,"Two CVEs are directly tied to botnet/worm activity in the provided texts. Androxgh0st is reported as building a botnet and scanning for RCE vulnerabilities CVE-2017-9841 (PHPUnit), CVE-2021-41773 (Apache HTTP Server), and CVE-2018-15133 (Laravel). Separately, the P2PInfect worm targets Redis and exploits CVE-2022-0543 (Lua sandbox escape) and is described as cross-platform, affecting Redis instances on Linux and Windows.","[{'source_id': 'CTI_TEXTS-2', 'page': 1, 'quote': 'threat actors using Androxgh0st malware are building a botnet ... It scans for websites and servers vulnerable to ... CVE-2017-9841 ... CVE-2021-41773 ... CVE-2018-15133'}, {'source_id': 'CTI_TEXTS-8', 'page': 1, 'quote': 'a new peer-to-peer (P2P) worm ... targets Redis ... infects vulnerable Redis instances by exploiting ... CVE-2022-0543 ... Redis instances can be run on both Linux and Windows'}]","{'actors': [], 'malware': ['Androxgh0st', 'P2PInfect'], 'cves': ['CVE-2017-9841', 'CVE-2021-41773', 'CVE-2018-15133', 'CVE-2022-0543'], 'sectors': [], 'regions': [], 'mitre': []}","{'from': '2023-07-11', 'to': '2023-07-11'}",high
3,"For ransomware groups described, what initial access methods are mentioned, and which vulnerabilities are used for privilege escalation or defense evasion?",True,"Ragnar Locker is described as initiating attacks via exposed RDP service using brute force password guessing or stolen credentials purchased on the dark web, then elevating privileges by exploiting CVE-2017-0213 (Windows COM Aggregate Marshaler). Kasseika is described as starting with phishing emails to steal account credentials for initial access and then using BYOVD tactics (abusing a vulnerable driver, Martini.sys/viragt64.sys) to disable antivirus before encryption.","[{'source_id': 'CTI_TEXTS-5', 'page': 1, 'quote': 'initiates their attacks by compromising ... through RDP service - using brute force ... or using stolen credentials purchased on the dark web ... elevates their privileges by exploiting CVE-2017-0213'}, {'source_id': 'CTI_TEXTS-12', 'page': 1, 'quote': 'Kasseika attacks start with a phishing email ... steal their account credentials, which will then be used for initial access ... employs Bring Your Own Vulnerable Driver (BYOVD) tactics to disable antivirus'}]","{'actors': ['Ragnar Locker', 'Kasseika'], 'malware': ['Ragnar Locker', 'Kasseika'], 'cves': ['CVE-2017-0213'], 'sectors': [], 'regions': [], 'mitre': []}","{'from': '2019-12-01', 'to': None}",high
4,"Which ransomware or extortion operations explicitly describe data exfiltration as part of their extortion model, and what is the sequencing of actions described?",True,"Ragnar Locker is explicitly described as using double extortion: exfiltrating sensitive data, triggering encryption, then threatening to leak data if ransom is not paid. Androxgh0st is not described as ransomware, but it does describe credential theft leading to delivery of additional payloads; the explicit exfiltration+encryption extortion sequence is only described for Ragnar Locker in the provided texts.","[{'source_id': 'CTI_TEXTS-5', 'page': 1, 'quote': 'double extortion tactic, which involves threat actors exfiltrating sensitive data, then triggering the encryption attack, and ultimately threatening to leak the data'}]","{'actors': ['Ragnar Locker'], 'malware': ['Ragnar Locker'], 'cves': [], 'sectors': [], 'regions': [], 'mitre': []}","{'from': '2019-12-01', 'to': None}",high
5,"Which malware is described as enabling follow-on payload delivery using stolen credentials, and which third-party services are explicitly mentioned as credential targets that could enable impersonation or spam?",True,"Androxgh0st is described as building a botnet focused on cloud credential theft and using stolen information to deliver additional malicious payloads. It targets credentials including AWS, Microsoft Office 365, SendGrid, and Twilio; stolen Twilio and SendGrid credentials are explicitly described as usable to conduct spam campaigns impersonating breached companies.","[{'source_id': 'CTI_TEXTS-2', 'page': 1, 'quote': 'building a botnet focused on cloud credential theft and using the stolen information to deliver additional malicious payloads'}, {'source_id': 'CTI_TEXTS-2', 'page': 1, 'quote': 'credentials ... Amazon Web Services [AWS], Microsoft Office 365, SendGrid, and Twilio ... Stolen Twilio and SendGrid credentials can be used ... to conduct spam campaigns impersonating the breached companies'}]","{'actors': [], 'malware': ['Androxgh0st'], 'cves': ['CVE-2017-9841', 'CVE-2021-41773', 'CVE-2018-15133'], 'sectors': [], 'regions': [], 'mitre': []}","{'from': None, 'to': None}",high
6,"Which malware or spyware is described as being installed surreptitiously via a zero-day exploit chain, and which CVEs are associated with the patched issues?",True,"Predator spyware (from Intellexa) is described as being installed surreptitiously onto iPhones using an in-the-wild zero-day exploit chain. The patched issues are associated with CVE-2023-41991, CVE-2023-41992, and CVE-2023-41993.","[{'source_id': 'CTI_TEXTS-7', 'page': 1, 'quote': 'discovered an in-the-wild 0-day exploit chain for iPhones ... used to install its Predator spyware surreptitiously ... Apple patched ... as CVE-2023-41991, CVE-2023-41992, CVE-2023-41993'}]","{'actors': ['Intellexa'], 'malware': ['Predator'], 'cves': ['CVE-2023-41991', 'CVE-2023-41992', 'CVE-2023-41993'], 'sectors': [], 'regions': [], 'mitre': []}","{'from': None, 'to': None}",high
7,"Which actor is described as actively exploiting a Microsoft Office remote code execution vulnerability that bypassed Mark-of-the-Web, and what ransomware branding is associated with that actor?",True,"The Russian threat actor Storm-0978/RomCom is described as actively exploiting CVE-2023-36884, which allowed crafting Microsoft Office documents to bypass Mark of the Web and enable remote code execution. The same text notes the group was previously recognized for deploying Industrial Spy ransomware and has rebranded as 'Underground' for extortion via ransomware operations.","[{'source_id': 'CTI_TEXTS-9', 'page': 1, 'quote': ""The Russian threat actor Storm-0978/RomCom is responsible for actively exploiting this vulnerability ... previously recognized for deploying the Industrial Spy ransomware ... rebranded as 'Underground'""}]","{'actors': ['Storm-0978', 'RomCom'], 'malware': ['Industrial Spy'], 'cves': ['CVE-2023-36884'], 'sectors': [], 'regions': ['Russia'], 'mitre': []}","{'from': None, 'to': None}",high
8,"Which ransomware operators are described as exploiting a VPN-related zero-day vulnerability to obtain or identify valid credentials for unauthorized remote access sessions, and what products are affected?",True,"Akira ransomware operators are described as exploiting CVE-2023-20269, a zero-day in Cisco ASA and Cisco Firepower Threat Defense (FTD) remote access VPN functionality. Exploitation is described as allowing identification of valid credentials that could be abused to establish unauthorized remote access VPN sessions (and, for some ASA versions, establishing a clientless SSL VPN session).","[{'source_id': 'CTI_TEXTS-6', 'page': 1, 'quote': 'Akira ransomware operators exploited CVE-2023-20269 ... in ... Cisco Adaptive Security Appliance (ASA) ... Cisco Firepower Thread Defense (FTD) ... can identify valid credentials ... establish unauthorized remote access VPN sessions'}]","{'actors': ['Akira'], 'malware': ['Akira'], 'cves': ['CVE-2023-20269'], 'sectors': [], 'regions': [], 'mitre': []}","{'from': '2023-09-06', 'to': '2023-09-06'}",high
9,Which malware is described as harvesting browser data and also enabling command-and-control and secondary malware delivery capabilities?,True,"Jupyter (also tracked as Yellow Cockatoo, Solarmarker, and Polazert) is described as harvesting browser credential material (cookies, Web data, browser password manager information) and as capable of functioning as a backdoor with command-and-control communications, acting as a dropper/loader for other malware, and executing PowerShell scripts/commands.","[{'source_id': 'CTI_TEXTS-4', 'page': 1, 'quote': 'harvest ... cookies, Web data, browser password manager information'}, {'source_id': 'CTI_TEXTS-4', 'page': 1, 'quote': 'capable of functioning as a full-fledged backdoor ... support for command and control (C2) communications, acting as a dropper and loader for other malware'}]","{'actors': [], 'malware': ['Jupyter', 'Yellow Cockatoo', 'Solarmarker', 'Polazert'], 'cves': [], 'sectors': [], 'regions': [], 'mitre': []}","{'from': '2020-01-01', 'to': None}",high
10,"Which vulnerabilities are described as enabling data recovery from local memory on GPUs, and what kinds of sensitive data can be recovered?",True,"LeftoverLocals (CVE-2023-4969) is described as enabling attackers to retrieve data from uninitialized local GPU memory, with a particular emphasis on large language model and machine learning contexts. The recovered data can reveal sensitive information including model inputs, outputs, weights, and intermediate computations.","[{'source_id': 'CTI_TEXTS-3', 'page': 1, 'quote': 'Tracked as CVE-2023-4969 ... allows retrieving data from the local memory space ... recovered data can reveal ... model inputs, outputs, weights, and intermediate computations'}]","{'actors': [], 'malware': [], 'cves': ['CVE-2023-4969'], 'sectors': [], 'regions': [], 'mitre': []}","{'from': None, 'to': None}",high
