id,category,question,answerable,answer
1,simple,What publisher is listed for source cisa_fivehands_2021-05-06?,True,CISA
2,simple,What date is stored for incident cisa_fivehands_2021-05-06_incident_1?,True,2021-05-06
3,simple,What type is incident microsoft-observed-teamcity-exploitation-diamond-sleet-2023-10?,True,intrusion
4,simple,What first_seen date is set on exploited_in for CVE-2023-42793?,True,2023-10-01
5,simple,What sponsor is assigned to threat actor Diamond Sleet?,True,North Korea
6,simple,What motivation value is stored directly on threat actor Clop?,True,financial
7,simple,What date is set for incident clop-accellion-fta-2021?,True,2021-01-01
8,simple,What CVE summary topic is described for ProxyShell?,True,Microsoft Exchange Server vulnerabilities chained together
9,simple,What technique_id corresponds to Internal Spearphishing?,True,T1534
10,simple,What ISO2 code is assigned to country South Korea?,True,KR
11,simple,What incident type is set for APT35-2014-social-media-spying-campaign?,True,campaign
12,simple,What service value is used for the Discord C2_Infrastructure node?,True,Discord
13,simple,What tactic is stored for technique T1204 User Execution?,True,Execution
14,simple,What published_on date is set for source ZDI-CVE-2023-40477-2023-08-17?,True,2023-08-17
15,simple,What date is set for incident INC-2023-08-21-whalersplonk-fake-poc-cve-2023-40477?,True,2023-08-21
16,single_hop,Which victim is targeted by incident cisa_fivehands_2021-05-06_incident_1?,True,Unknown organization
17,single_hop,Which two malware are involved in cisa_fivehands_2021-05-06_incident_1?,True,"FiveHands, SombRAT"
18,single_hop,Which technique is used in cisa_fivehands_2021-05-06_incident_1 for Initial Access?,True,T1190
19,single_hop,Which CVE is linked by exploited_in from incident microsoft-observed-teamcity-exploitation-onyx-sleet-2023-10?,True,CVE-2023-42793
20,single_hop,Which threat actor is attributed_to incident microsoft-observed-teamcity-exploitation-diamond-sleet-2023-10?,True,Diamond Sleet
21,single_hop,Which motivation type is connected to APT37 via motivated_by?,True,espionage
22,single_hop,Which country is linked by located_in from victim Users in South Korea?,True,South Korea
23,single_hop,Which malware does TA444 use according to uses relationship?,True,SpectralBlur
24,single_hop,Which C2 service does SpectralBlur abuse?,True,Command-and-control server
25,single_hop,Which malware is ultimately involved in incident INC-2023-08-21-whalersplonk-fake-poc-cve-2023-40477?,True,VenomRAT
26,single_hop,Which technique is used by incident INC-2023-08-21-whalersplonk-fake-poc-cve-2023-40477?,True,T1608
27,single_hop,Which CVE is exploited_in by incident clop-goanywhere-cve-2023-0669-2023?,True,CVE-2023-0669
28,single_hop,Which tool is involved_tool in incident clop-accellion-fta-2021?,True,Accellion FTA
29,single_hop,Which malware does Clop use per uses relationship?,True,Ransom.Clop
30,single_hop,Which malware are included in campaign AveMaria/AgentTesla Discord spam campaign?,True,"AveMaria, AgentTesla"
31,multi_hop,Which CVEs are exploited in incidents attributed to Diamond Sleet?,True,CVE-2023-42793
32,multi_hop,Which country did APT37 attack via the victim it targeted?,True,South Korea
33,multi_hop,Which C2 services are abused by the WhatsApp banking trojan malware?,True,"C2 server, SMS (hard-coded phone number)"
34,multi_hop,Which technique_ids were used in incidents involving malware AveMaria?,True,"T1566, T1204"
35,multi_hop,What sector is targeted by incidents attributed_to APT35 in 2020?,True,Healthcare
36,multi_hop,Which victims located in the United States are targeted by APT35 incidents?,True,"Academic institutions (US), Medical research organizations (US)"
37,multi_hop,Which techniques are used in the APT35 incident that exploited ProxyShell?,True,T1190
38,multi_hop,Which tools are involved in the FiveHands ransomware incident on 2021-05-06?,True,"SoftPerfect Network Scanner, PsExec.exe, ServeManager.exe, RouterScan.exe, grabff.exe, rclone.exe, s3browser-9-5-3.exe"
39,multi_hop,Which tactic is associated with techniques used in the Discord spam malware incident?,True,"Initial Access, Execution"
40,multi_hop,How many incidents are attributed_to APT35?,True,6
41,multi_hop,How many distinct countries or regions are linked via occurred_in for APT35 incidents?,True,4
42,multi_hop,How many victims are targeted by incidents that occurred on 2019-01-01?,True,1
43,multi_hop,How many techniques are used by incident cisa_fivehands_2021-05-06_incident_1?,True,8
44,multi_hop,How many distinct CVEs are exploited_in by incidents attributed_to Clop?,True,1
45,multi_hop,How many malware are delivered by Win/TrojanDownloader.Rugmi via uses relationships?,True,4
46,unanswerable,What CVSS score is recorded for CVE-2023-42793?,False,
47,unanswerable,What file hash is given for the VenomRAT payload?,False,
48,unanswerable,Which specific bank is impersonated by the fake KYC Android app?,False,
49,unanswerable,What email subject lines were used in the Discord spam campaign?,False,
50,unanswerable,Which JetBrains TeamCity versions are affected by CVE-2023-42793?,False,
