id,question,answerable,answer,evidence,normalized_entities,timeframe,confidence
1,"Which threat actors are explicitly linked to phishing as a delivery vector, and what malware or backdoors do they distribute via phishing?",True,CTI_TEXTS explicitly link multiple actors to phishing-based delivery. UAC-0099 uses phishing messages with attachments (HTA/RAR/LNK) that lead to LONEPAGE deployment. UAC-0050 leverages phishing attacks to distribute Remcos RAT. BazarLoader (used as a dropper associated with Ryuk operations) is primarily distributed via phishing emails and is connected to the actor behind TrickBot.,"[{'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'The attack chains leveraged phishing messages containing HTA, RAR, and LNK file attachments that led to the deployment of LONEPAGE'}, {'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'The threat actor known as UAC-0050 is leveraging phishing attacks to distribute Remcos RAT'}, {'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'BazarLoader is also primarily distributed via phishing emails'}]","{'actors': ['UAC-0099', 'UAC-0050', 'TrickBot threat actor'], 'malware': ['LONEPAGE', 'Remcos RAT', 'BazarLoader'], 'cves': [], 'sectors': [], 'regions': ['Ukraine', 'Poland'], 'mitre': []}","{'from': '2023-06-01', 'to': None}",high
2,"Which vulnerability is used to deliver LONEPAGE, and which threat actor is associated with exploiting it through booby-trapped archives?",True,UAC-0099-associated activity leverages the WinRAR vulnerability CVE-2023-38831 (CVSS 7.8) through booby-trapped ZIP files to distribute the LONEPAGE malware.,"[{'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'The ZIP files exploit the WinRAR vulnerability (CVE-2023-38831, CVSS score: 7.8) to distribute LONEPAGE.'}, {'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'The threat actor known as UAC-0099 has been linked to continued attacks... leverage a high-severity flaw in the WinRAR software to deliver a malware strain called LONEPAGE.'}]","{'actors': ['UAC-0099'], 'malware': ['LONEPAGE'], 'cves': ['CVE-2023-38831'], 'sectors': [], 'regions': ['Ukraine'], 'mitre': []}","{'from': '2023-06-01', 'to': None}",high
3,"For each state-sponsored threat actor described, what campaign theme or operational approach is attributed to them, and what is the intended outcome (financial gain, espionage, or theft)?",True,"CTI_TEXTS describe multiple state-sponsored actors and their approaches. A DPRK/North Korea state-sponsored actor is attributed (moderate confidence) to 'Contagious Interview', posing as employers to lure software developers into installing malware, creating potential for theft. Another DPRK state-sponsored threat (high confidence) is attributed to 'Wagemole', seeking unauthorized employment with organizations for potential financial gain and espionage. Lazarus (North Korean threat group) exploited a Windows zero-day (CVE-2024-21338) for privilege escalation in attacks involving the FudModule rootkit, enabling stealthy kernel-level capability (privilege escalation and kernel manipulation).","[{'source_id': 'CTI_TEXTS', 'page': 1, 'quote': '“Contagious Interview,” where threat actors pose as employers... to lure software developers into installing malware... potential for various types of theft.'}, {'source_id': 'CTI_TEXTS', 'page': 1, 'quote': '“Wagemole,” where threat actors seek unauthorized employment... with potential for both financial gain and espionage.'}, {'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'The notorious North Korean threat group known as Lazarus exploited a Windows zero-day vulnerability for privilege escalation in attacks involving a rootkit named FudModule'}]","{'actors': ['DPRK state-sponsored threat actor', 'Lazarus'], 'malware': ['FudModule'], 'cves': ['CVE-2024-21338'], 'sectors': [], 'regions': ['North Korea', 'United States', 'United Kingdom'], 'mitre': []}","{'from': '2023-08-01', 'to': '2024-02-29'}",medium
4,"Which malware families are described as credential stealers, and what victim platforms or target types do they focus on?",True,"Dyre is described as a financial Trojan detected as Infostealer.Dyre; it targets Windows computers and steals banking and other credentials by attacking major browsers (Internet Explorer, Chrome, Firefox), configured to defraud customers of over 1,000 banks and other companies worldwide. LONEPAGE is described as capable of retrieving additional payloads such as 'keyloggers' and 'stealers' from a C2 server after initial execution.","[{'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'Detected by Symantec as Infostealer.Dyre... targets Windows computers and can steal banking and other credentials'}, {'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'configured to defraud the customers of more than 1,000 banks'}, {'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'retrieve additional payloads such as keyloggers, stealers, and screenshot malware'}]","{'actors': [], 'malware': ['Dyre', 'LONEPAGE'], 'cves': [], 'sectors': ['Banking'], 'regions': ['United States', 'United Kingdom'], 'mitre': []}","{'from': None, 'to': None}",high
5,"Which malware is described as contacting command-and-control infrastructure to retrieve additional payloads, and what types of payloads are mentioned?",True,"LONEPAGE (a VBS malware) is described as capable of contacting a command-and-control (C2) server to retrieve additional payloads, including keyloggers, stealers, and screenshot malware.","[{'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'capable of contacting a command-and-control (C2) server to retrieve additional payloads such as keyloggers, stealers, and screenshot malware.'}]","{'actors': ['UAC-0099'], 'malware': ['LONEPAGE'], 'cves': [], 'sectors': [], 'regions': ['Ukraine'], 'mitre': []}","{'from': None, 'to': None}",high
6,"Which cybercrime group is described as shifting from ransomware encryption to data-leak extortion, and what exploited vulnerabilities are attributed to that group?",True,"Clop (run by the cyber-crime group Snakefly, also tracked as TA505/FIN11) is described as moving away from encrypting files to relying on leaking stolen data for extortion. The group is linked to exploiting multiple vulnerabilities in Accellion FTA and a GoAnywhere MFT zero-day, CVE-2023-0669.","[{'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'known to eschew encryption entirely and rely on the threat of leaking stolen data to extort its victims'}, {'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'In 2021, it was linked to the exploitation of multiple vulnerabilities in Accellion FTA'}, {'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'responsible for exploiting a zero-day vulnerability (CVE-2023-0669) in the GoAnywhere MFT platform'}]","{'actors': ['Clop', 'Snakefly', 'TA505', 'FIN11'], 'malware': ['Ransom.Clop'], 'cves': ['CVE-2023-0669'], 'sectors': [], 'regions': [], 'mitre': []}","{'from': '2021-01-01', 'to': None}",high
7,"Which described vulnerabilities enable bypassing authentication or achieving pre-authenticated remote code execution in enterprise software, and what outcomes are stated?",True,"Apache OFBiz CVE-2023-51467 is described as an authentication-bypass flaw in the login functionality, allowing attackers to return an authentication success message with empty/invalid parameters and access unauthorized internal resources. Apache OFBiz CVE-2023-49070 is described as a pre-authenticated remote code execution flaw (prior to version 18.12.10) that can allow threat actors to gain full control over the server and siphon sensitive data.","[{'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'CVE-2023-51467... could be exploited to bypass authentication protections'}, {'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'CVE-2023-49070... a pre-authenticated remote code execution flaw... could allow threat actors to gain full control over the server and siphon sensitive data'}, {'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'triggered using empty and invalid USERNAME and PASSWORD parameters... enabling a threat actor to access otherwise unauthorized internal resources'}]","{'actors': [], 'malware': [], 'cves': ['CVE-2023-51467', 'CVE-2023-49070'], 'sectors': [], 'regions': [], 'mitre': []}","{'from': None, 'to': None}",high
8,"Which campaigns involve the tactic of posing as employers or seeking employment, and which state sponsor is attributed to them?",True,Two campaigns are described. 'Contagious Interview' involves threat actors posing as employers to lure software developers into installing malware; it is attributed with moderate confidence to a North Korea (DPRK) state-sponsored threat actor. 'Wagemole' involves threat actors seeking unauthorized employment with organizations; it is attributed with high confidence to a North Korea state-sponsored threat.,"[{'source_id': 'CTI_TEXTS', 'page': 1, 'quote': '“Contagious Interview,” where threat actors pose as employers... We attribute with moderate confidence that Contagious Interview is run by a North Korea state-sponsored threat actor.'}, {'source_id': 'CTI_TEXTS', 'page': 1, 'quote': '“Wagemole,” where threat actors seek unauthorized employment... We attribute with high confidence that Wagemole is a North Korea state-sponsored threat.'}]","{'actors': ['DPRK state-sponsored threat actor'], 'malware': [], 'cves': [], 'sectors': [], 'regions': ['North Korea', 'United States'], 'mitre': []}","{'from': None, 'to': None}",high
9,"Which threat actor is described as targeting telecommunications and government entities, and what tooling and post-compromise activity is observed?",True,Budworm (also known as LuckyMouse/Emissary Panda/APT27) targeted a Middle Eastern telecommunications organization and an Asian government. It deployed a SysUpdate backdoor variant and used living-off-the-land and publicly available tools; the only malicious activity observed on infected machines was credential harvesting.,"[{'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'target a Middle Eastern telecommunications organization and an Asian government'}, {'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'deployed a previously unseen variant of its SysUpdate backdoor'}, {'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'the only malicious activity seen on infected machines is credential harvesting'}]","{'actors': ['Budworm', 'APT27', 'LuckyMouse', 'Emissary Panda'], 'malware': ['SysUpdate'], 'cves': [], 'sectors': ['Telecommunications', 'Government'], 'regions': ['Middle East', 'Asia'], 'mitre': []}","{'from': '2023-08-01', 'to': '2023-08-31'}",high
10,"Which actor is documented as targeting Ukrainian entities for espionage and also targeting Ukrainian employees working abroad, and what malware is used in those attacks?",True,"UAC-0099 is described as being documented targeting Ukrainian state organizations and media entities for espionage motives, and also targeting Ukrainian employees working for companies outside of Ukraine. The malware used is LONEPAGE.","[{'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'detailing its attacks against state organizations and media entities for espionage motives'}, {'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'The threat actor targets Ukrainian employees working for companies outside of Ukraine.'}, {'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'deliver a malware strain called LONEPAGE'}]","{'actors': ['UAC-0099'], 'malware': ['LONEPAGE'], 'cves': ['CVE-2023-38831'], 'sectors': ['Government', 'Media'], 'regions': ['Ukraine'], 'mitre': []}","{'from': '2023-06-01', 'to': None}",high
