q_id,category,system,question,gold_answer,prediction,Exact,Strict-Exact,F1,BLEU,ROUGE1,ROUGEL,BERT-F1,Halluc-Prec,Unknown,Answered,time_sec
1,simple,RAG,What is the published_date for CVE-2022-30190?,2022-01-01,The published_date for CVE-2022-30190 is not provided in the given context.,0.0,0.0,0.0,2.445593937240363,0.11764705882352941,0.11764705882352941,0.7617982625961304,0.0,0.0,1.0,0.955831435509026
1,simple,GRAG,What is the published_date for CVE-2022-30190?,2022-01-01,"The published date for CVE-2022-30190 is January 1, 2022.",0.0,0.0,0.0,3.673526562988939,0.14285714285714288,0.14285714285714288,0.7899348139762878,0.0,0.0,1.0,4.4653443694114685
1,simple,AGRAG,What is the published_date for CVE-2022-30190?,2022-01-01,2022-01-01,1.0,1.0,1.0,100.00000000000004,1.0,1.0,1.0,1.0,0.0,1.0,2.5366949578747153
1,simple,HRAG,What is the published_date for CVE-2022-30190?,2022-01-01,2022-01-01,1.0,1.0,1.0,100.00000000000004,1.0,1.0,1.0,1.0,0.0,1.0,2.481744561344385
2,simple,RAG,What tactic is assigned to technique T1059.001?,Execution,The context does not provide information about the tactic assigned to technique T1059.001.,0.0,0.0,0.0,0.0,0.0,0.0,0.806063175201416,0.0,0.0,1.0,0.9421103838831186
2,simple,GRAG,What tactic is assigned to technique T1059.001?,Execution,The tactic assigned to technique T1059.001 is Execution.,1.0,0.0,0.0,4.767707020457095,0.19999999999999998,0.19999999999999998,0.8144025802612305,0.0,0.0,1.0,3.177163059823215
2,simple,AGRAG,What tactic is assigned to technique T1059.001?,Execution,Execution,1.0,1.0,1.0,0.0,1.0,1.0,0.9999997615814209,1.0,0.0,1.0,2.4172491170465946
2,simple,HRAG,What tactic is assigned to technique T1059.001?,Execution,Execution,1.0,1.0,1.0,0.0,1.0,1.0,0.9999997615814209,1.0,0.0,1.0,2.3218675861135125
3,simple,RAG,What family value is set for malware Follina Exploit?,Exploit,The provided context does not specify the family value set for the malware Follina Exploit.,1.0,0.0,0.0,2.445593937240363,0.125,0.125,0.8368319869041443,0.0,0.0,1.0,0.7922538323327899
3,simple,GRAG,What family value is set for malware Follina Exploit?,Exploit,There is no family value set for the malware Follina Exploit.,1.0,0.0,0.0,3.3864985683445354,0.16666666666666669,0.16666666666666669,0.8431374430656433,0.0,0.0,1.0,3.326371588744223
3,simple,AGRAG,What family value is set for malware Follina Exploit?,Exploit,Exploit,1.0,1.0,1.0,0.0,1.0,1.0,0.9999999403953552,1.0,0.0,1.0,2.6082542277872562
3,simple,HRAG,What family value is set for malware Follina Exploit?,Exploit,Exploit,1.0,1.0,1.0,0.0,1.0,1.0,0.9999999403953552,1.0,0.0,1.0,2.4994414122775197
4,simple,RAG,What type is incident INC-CVE-2024-0204-GoAnywhere-PoC?,intrusion,The incident INC-CVE-2024-0204-GoAnywhere-PoC is a proof-of-concept (PoC) exploit that creates new admin users on vulnerable GoAnywhere MFT instances exposed online.,0.0,0.0,0.0,0.0,0.0,0.0,0.7773215174674988,0.0,0.0,1.0,1.144462687894702
4,simple,GRAG,What type is incident INC-CVE-2024-0204-GoAnywhere-PoC?,intrusion,There is no information available regarding the type of incident INC-CVE-2024-0204-GoAnywhere-PoC.,0.0,0.0,0.0,0.0,0.0,0.0,0.7856230735778809,0.0,0.0,1.0,4.164190762676299
4,simple,AGRAG,What type is incident INC-CVE-2024-0204-GoAnywhere-PoC?,intrusion,The type is intrusion.,1.0,0.0,0.0,10.682175159905848,0.4,0.4,0.8426807522773743,0.0,0.0,1.0,2.994005998596549
4,simple,HRAG,What type is incident INC-CVE-2024-0204-GoAnywhere-PoC?,intrusion,intrusion,1.0,1.0,1.0,0.0,1.0,1.0,1.0000001192092896,1.0,0.0,1.0,3.0606640558689833
5,simple,RAG,What confidence is recorded on the incident attribution to Horizon3 Attack Team?,low,The provided context does not specify the confidence level recorded on the incident attribution to Horizon3 Attack Team.,0.0,0.0,0.0,0.0,0.0,0.0,0.8023476004600525,0.0,0.0,1.0,0.8786869272589684
5,simple,GRAG,What confidence is recorded on the incident attribution to Horizon3 Attack Team?,low,There is no confidence recorded on the incident attribution to Horizon3 Attack Team.,0.0,0.0,0.0,0.0,0.0,0.0,0.8218737840652466,0.0,0.0,1.0,6.552743238396943
5,simple,AGRAG,What confidence is recorded on the incident attribution to Horizon3 Attack Team?,low,"The recorded confidence is ""low"".",1.0,0.0,0.0,5.522397783539471,0.33333333333333337,0.33333333333333337,0.8368937969207764,0.0,0.0,1.0,3.2684996016323566
5,simple,HRAG,What confidence is recorded on the incident attribution to Horizon3 Attack Team?,low,low,1.0,1.0,1.0,0.0,1.0,1.0,1.000000238418579,1.0,0.0,1.0,3.155732747167349
6,simple,RAG,What country ISO2 is set for victim Silverstone Circuit?,GB,The country ISO2 set for victim Silverstone Circuit is GB (United Kingdom).,1.0,0.0,0.15384615384615385,2.627961710408444,0.15384615384615385,0.15384615384615385,0.7899777293205261,0.08333333333333333,0.0,1.0,0.8014071332290769
6,simple,GRAG,What country ISO2 is set for victim Silverstone Circuit?,GB,There is no information available about the country ISO2 code set for victim Silverstone Circuit.,0.0,0.0,0.0,0.0,0.0,0.0,0.8047971129417419,0.0,0.0,1.0,3.339519053697586
6,simple,AGRAG,What country ISO2 is set for victim Silverstone Circuit?,GB,GB,1.0,1.0,1.0,0.0,1.0,1.0,1.0000001192092896,1.0,0.0,1.0,2.0896585220471025
6,simple,HRAG,What country ISO2 is set for victim Silverstone Circuit?,GB,GB,1.0,1.0,1.0,0.0,1.0,1.0,1.0000001192092896,1.0,0.0,1.0,2.8970349710434675
7,simple,RAG,What date is set for incident royal-ramp-up-2022-09?,2022-09-01,The incident royal-ramp-up-2022-09 is set in September 2022.,0.0,0.0,0.0,8.29519350710986,0.26666666666666666,0.26666666666666666,0.7956377863883972,0.0,0.0,1.0,1.1974272262305021
