id,category,question,answerable,answer,confidence,evidence,normalized_entities
1,simple,What country ISO2 is recorded for Bank customers (India)?,True,IN,,,
2,simple,What sector is assigned to Bank customers (India)?,True,Finance,,,
3,simple,What incident type is set for whatsapp-phishing-banking-trojan-android-apk?,True,intrusion,,,
4,simple,What is the exfiltration flag for whatsapp-phishing-banking-trojan-android-apk?,True,true,,,
5,simple,What family is set for Android banking trojan (malicious APK)?,True,Banking Trojan,,,
6,simple,What technique tactic is recorded for T1204?,True,Execution,,,
7,simple,What technique tactic is recorded for T1456?,True,Collection,,,
8,simple,What sponsor is recorded for UNC3886?,True,China,,,
9,simple,What motivation is recorded for UNC3886?,True,espionage,,,
10,simple,What malware family is set for VirtualPita?,True,backdoor,,,
11,simple,What is the incident date for inc_unc3886_vmware_vcenter_esxi_2023_06?,True,2023-06-01,,,
12,simple,What confidence is set on CVE-2024-28085-WallEscape attributed_to relationship?,True,high,,,
13,simple,What published date is set for CVE-2024-28085?,True,2024-01-01,,,
14,simple,What framework is set for mitigation Disable public management interfaces?,True,General,,,
15,simple,What sponsor is recorded for Peach Sandstorm?,True,Iran,,,
16,single_hop,Where is Bank customers (India) located_in?,True,India,,,
17,single_hop,In which country did whatsapp-phishing-banking-trojan-android-apk occurred_in?,True,India,,,
18,single_hop,Which sector does whatsapp-phishing-banking-trojan-android-apk targets_sector?,True,Finance,,,
19,single_hop,Which malware does WhatsApp phishing campaign includes?,True,Android banking trojan (malicious APK),,,
20,single_hop,Which victim does WhatsApp phishing campaign targets?,True,Bank customers (India),,,
21,single_hop,Which tool is involved in microsoft_midnight_blizzard_teams_social_engineering?,True,Microsoft Teams,,,
22,single_hop,Which threat actor is attributed_to microsoft_midnight_blizzard_teams_social_engineering?,True,Midnight Blizzard,,,
23,single_hop,Which actor is credited in CVE-2024-28085-WallEscape attributed_to?,True,Skyler Ferrante,,,
24,single_hop,Which CVE is exploited_in by inc_unc3886_vmware_vcenter_esxi_2023_06 with first_seen set?,True,CVE-2023-34048,,,
25,single_hop,What is the first_seen date on the inc_unc3886_vmware_vcenter_esxi_2023_06 exploited_in CVE-2023-34048 relationship?,True,2021-01-01,,,
