id,question,answerable,answer,evidence,normalized_entities,timeframe,confidence
1,"Which threat actor is linked to a ransomware or extortion operation, and what distinct extortion method is described as providing competitive advantage?",True,"BlackCat (aka AlphaVM/AlphaV/ALPHV) is described as a ransomware family/operator using triple extortion, which provides a competitive edge; triple extortion includes threatening DDoS attacks in addition to exposing exfiltrated data.","[{'source_id': 'CTI_TEXTS_4', 'page': 1, 'quote': 'BlackCat ... use of triple extortion ... Aside from exposing exfiltrated data, ransomware actors that use triple extortion threaten to launch distributed denial-of-service (DDoS) attacks'}]","{'actors': ['BlackCat', 'ALPHV', 'AlphaV', 'AlphaVM'], 'malware': ['BlackCat ransomware'], 'cves': [], 'sectors': [], 'regions': [], 'mitre': []}","{'from': '2021-11-01', 'to': None}",high
2,"What is the relationship between a named cybercrime group and the Clop operation, including known aliases and the extortion approach currently emphasized?",True,"Clop is run by a cyber-crime group known as Snakefly (aka TA505, FIN11). The text states the operation has recently relied on leaking stolen data for extortion and has at times eschewed encryption entirely.","[{'source_id': 'CTI_TEXTS_5', 'page': 1, 'quote': 'Clop is an extortion and ransomware operation run by a cyber-crime group known as Snakefly (aka TA505, FIN11)... known to eschew encryption entirely and rely on the threat of leaking stolen data'}]","{'actors': ['Snakefly', 'TA505', 'FIN11', 'Clop'], 'malware': ['Ransom.Clop'], 'cves': ['CVE-2023-0669'], 'sectors': [], 'regions': [], 'mitre': []}","{'from': '2021-01-01', 'to': None}",high
3,"Which actor-target combinations are described for email-based phishing campaigns leveraging a specific Microsoft Office vulnerability, and what lure content is used?",True,"State-sponsored hackers are described targeting U.S. and E.U. government workers via email-based phishing campaigns exploiting the Microsoft Office Follina vulnerability (CVE-2022-30190), using fake recruitment pitches promising a 20% salary boost to entice victims to open an attachment.","[{'source_id': 'CTI_TEXTS_1', 'page': 1, 'quote': 'state-sponsored hackers ... aiming an email-based exploit at U.S. and E.U. government targets via phishing campaigns... fake recruitment pitches promising a 20 percent boost in salaries'}]","{'actors': ['state-sponsored hackers'], 'malware': [], 'cves': ['CVE-2022-30190'], 'sectors': ['Government'], 'regions': ['United States', 'European Union'], 'mitre': []}","{'from': None, 'to': None}",medium
4,"Which vulnerabilities are described as enabling unauthenticated remote code execution, and what reconnaissance or validation command is observed during exploitation attempts?",True,"CVE-2023-22527 affecting outdated Atlassian Confluence servers is described as enabling unauthenticated remote code execution via template injection, and attackers are observed executing the 'whoami' command to gather access/privilege information.","[{'source_id': 'CTI_TEXTS_2', 'page': 1, 'quote': ""CVE-2023-22527 ... allows unauthenticated remote attackers to execute code... attackers are trying out callbacks by executing the 'whoami' command""}]","{'actors': ['threat actors'], 'malware': [], 'cves': ['CVE-2023-22527'], 'sectors': [], 'regions': [], 'mitre': []}","{'from': None, 'to': None}",high
5,"Which exploited vulnerability enables code execution via a malicious web page on Apple platforms, and what device families are described as impacted?",True,"CVE-2024-23222 is described as a WebKit confusion issue exploited to gain code execution after opening a malicious web page, impacting iPhones, Macs, and Apple TVs (iOS, macOS, tvOS).","[{'source_id': 'CTI_TEXTS_6', 'page': 1, 'quote': 'CVE-2024-23222 ... WebKit confusion issue ... gain code execution ... after opening a malicious web page ... could impact iPhones, Macs, and Apple TVs'}]","{'actors': ['attackers', 'threat actors'], 'malware': [], 'cves': ['CVE-2024-23222'], 'sectors': [], 'regions': [], 'mitre': []}","{'from': None, 'to': None}",high
6,"Which CVE is associated with a persistent backdoor against ecommerce sites, and what additional monetization payload is described as being injected?",True,CVE-2024-20720 (Magento/Adobe Commerce) is associated with attacks that inject a persistent backdoor; the threat actors used it to inject a fake Stripe payment skimmer to steal payment data from compromised web stores.,"[{'source_id': 'CTI_TEXTS_8', 'page': 1, 'quote': 'exploiting a critical vulnerability in Magento to inject a persistent backdoor... CVE-2024-20720... employed the mechanism to inject a fake Stripe payment skimmer and steal payment data'}]","{'actors': ['threat actors'], 'malware': ['persistent backdoor', 'payment skimmer'], 'cves': ['CVE-2024-20720'], 'sectors': ['Ecommerce'], 'regions': [], 'mitre': []}","{'from': '2024-02-01', 'to': None}",high
7,Which APT group targets online gambling sites and what malware families and operating systems are associated with this activity?,True,"Earth Berberoka (aka GamblingPuppet) targets online gambling sites and uses PlugX and Gh0st RAT, plus a multistage malware family dubbed PuppetLoader; the activity is described as multiplatform targeting Windows, Linux, and macOS.","[{'source_id': 'CTI_TEXTS_7', 'page': 1, 'quote': 'APT group that primarily targets online gambling sites... dubbed Earth Berberoka (aka GamblingPuppet)... uses ... PlugX and Gh0st RAT... dubbed PuppetLoader... multiplatform, targeting the Windows, Linux, and macOS operating systems'}]","{'actors': ['Earth Berberoka', 'GamblingPuppet'], 'malware': ['PlugX', 'Gh0st RAT', 'PuppetLoader'], 'cves': [], 'sectors': ['Online gambling'], 'regions': [], 'mitre': []}","{'from': None, 'to': None}",high
8,Which hardware vendors are affected by the 'LeftoverLocals' vulnerability and what types of sensitive AI/ML-related data can be recovered according to the description?,True,"LeftoverLocals (CVE-2023-4969) affects GPUs from AMD, Apple, Qualcomm, and Imagination Technologies; it enables recovery of sensitive information from AI/ML computations, including model inputs, outputs, weights, and intermediate computations.","[{'source_id': 'CTI_TEXTS_3', 'page': 1, 'quote': 'LeftoverLocals ... affecting graphics processing units from AMD, Apple, Qualcomm, and Imagination Technologies... can reveal sensitive information... including model inputs, outputs, weights, and intermediate computations'}]","{'actors': [], 'malware': [], 'cves': ['CVE-2023-4969'], 'sectors': [], 'regions': [], 'mitre': []}","{'from': None, 'to': None}",high
9,"Which actor uses phishing as an initial access vector to exploit a named CVE, and what target sector and regions are specified?",True,"State-sponsored hackers use phishing (email-based exploit) to target government workers in the United States and European Union, exploiting the Follina remote code execution bug CVE-2022-30190 via a malicious attachment.","[{'source_id': 'CTI_TEXTS_1', 'page': 1, 'quote': 'state-sponsored hackers ... email-based exploit at U.S. and E.U. government targets via phishing campaigns... attachment... CVE-2022-30190'}]","{'actors': ['state-sponsored hackers'], 'malware': [], 'cves': ['CVE-2022-30190'], 'sectors': ['Government'], 'regions': ['United States', 'European Union'], 'mitre': []}","{'from': None, 'to': None}",high
10,"Which actor is linked to exploiting zero-day vulnerabilities, and what vulnerable products and CVEs are explicitly associated with that actor in the evidence?",True,"The Clop operation (run by Snakefly/TA505/FIN11) is described as having a track record of exploiting zero-day vulnerabilities, including Accellion FTA and the GoAnywhere MFT platform via CVE-2023-0669.","[{'source_id': 'CTI_TEXTS_5', 'page': 1, 'quote': 'Clop... track record in exploiting zero-day vulnerabilities... linked to... Accellion FTA... exploiting... (CVE-2023-0669) in the GoAnywhere MFT platform'}]","{'actors': ['Clop', 'Snakefly', 'TA505', 'FIN11'], 'malware': ['Ransom.Clop'], 'cves': ['CVE-2023-0669'], 'sectors': [], 'regions': [], 'mitre': []}","{'from': '2021-01-01', 'to': None}",high
