q_id,category,system,question,gold_answer,prediction,Exact,Strict-Exact,F1,BLEU,ROUGE1,ROUGEL,BERT-F1,Halluc-Prec,Unknown,Answered,time_sec
1,simple,RAG,What sponsor is listed for COLDRIVER?,Russian government,I don't know.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.583604590035975
1,simple,GRAG,What sponsor is listed for COLDRIVER?,Russian government,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.828936355188489
1,simple,AGRAG,What sponsor is listed for COLDRIVER?,Russian government,Russian government,1.0,1.0,1.0,0.0,1.0,1.0,1.000000238418579,1.0,0.0,1.0,3.7704508509486914
1,simple,HRAG,What sponsor is listed for COLDRIVER?,Russian government,I don't know.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.467101416550577
2,simple,RAG,What motivation is recorded for COLDRIVER?,espionage,The motivation recorded for COLDRIVER is to conduct espionage aligned with the interests of the Russian government.,1.0,0.0,0.1111111111111111,2.1476912089159055,0.1111111111111111,0.1111111111111111,0.8105677962303162,0.058823529411764705,0.0,1.0,1.047752145677805
2,simple,GRAG,What motivation is recorded for COLDRIVER?,espionage,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0466774879023433
2,simple,AGRAG,What motivation is recorded for COLDRIVER?,espionage,espionage,1.0,1.0,1.0,0.0,1.0,1.0,0.9999996423721313,1.0,0.0,1.0,3.0171768069267273
2,simple,HRAG,What motivation is recorded for COLDRIVER?,espionage,I don't know.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0192329231649637
3,simple,RAG,What type is assigned to incident TAG-COLDRIVER-credential-phishing-activity?,intrusion,I don't know.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5455428929999471
3,simple,GRAG,What type is assigned to incident TAG-COLDRIVER-credential-phishing-activity?,intrusion,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7794799944385886
