id,question,answerable,answer,evidence,normalized_entities,timeframe,confidence
1,"Which malware families are described as ransomware, and what initial access vectors are explicitly associated with each?",True,"CTI_TEXTS describes multiple ransomware families and their associated initial access vectors: (1) Magniber ransomware: distributed via phishing using standalone JavaScript files; historically distributed via the Magnitude exploit kit and later via exploitation of CVE-2018-8174 for initial access. (2) Clop ransomware: delivered after exploiting a SolarWinds Serv-U remote code execution vulnerability (CVE-2021-35211). (3) Rhysida ransomware: typically gains access through phishing tactics. (4) RansomExx is described as ransomware, but CTI_TEXTS does not state a specific initial access vector for it.","[{'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'phishing attacks were reported to distribute the Magniber ransomware'}, {'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'it expanded its targets across Asia using CVE-2018-8174 for initial access'}, {'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'exploited a SolarWinds Serv-U vulnerability to breach corporate networks and deliver the Clop ransomware'}, {'source_id': 'CTI_TEXTS', 'page': 1, 'quote': ""Rhysida typically gains access to a victim's system through phishing tactics""}]","{'actors': ['Clop operators', 'Rhysida (threat actor)', 'FIN11', 'TA505', 'DEV-0950'], 'malware': ['Magniber', 'Clop', 'Rhysida', 'RansomExx', 'Cerber', 'Magnitude exploit kit', 'Raspberry Robin'], 'cves': ['CVE-2022-44698', 'CVE-2018-8174', 'CVE-2021-35211'], 'sectors': [], 'regions': ['South Korea', 'Asia'], 'mitre': []}","{'from': '2017-01-01', 'to': '2022-12-31'}",medium
2,"Which actors are explicitly linked to living-off-the-land techniques, and what other tools or access methods are mentioned alongside that tradecraft?",True,"Flax Typhoon is explicitly described as primarily relying on living-off-the-land techniques and hands-on-keyboard activity. Alongside this, it is known to use tools including China Chopper web shell, Metasploit, Juicy Potato, Mimikatz, and SoftEther VPN client, and it achieves initial access by exploiting known vulnerabilities in public-facing servers and deploying web shells (e.g., China Chopper).","[{'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'Flax Typhoon primarily relies on living-off-the-land techniques and hands-on-keyboard activity'}, {'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'known to use the China Chopper web shell, Metasploit, Juicy Potato privilege escalation tool, Mimikatz, and SoftEther virtual private network (VPN) client'}, {'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'achieves initial access by exploiting known vulnerabilities in public-facing servers and deploying web shells like China Chopper'}]","{'actors': ['Flax Typhoon'], 'malware': ['China Chopper', 'Metasploit', 'Juicy Potato', 'Mimikatz', 'SoftEther VPN'], 'cves': [], 'sectors': ['Government', 'Education', 'Critical manufacturing', 'Information technology'], 'regions': ['Taiwan', 'Southeast Asia', 'North America', 'Africa'], 'mitre': []}","{'from': '2021-06-01', 'to': None}",high
3,"Which vulnerabilities are explicitly described as being exploited in the wild or publicly exploitable, and what affected products are named for each CVE?",True,"CTI_TEXTS explicitly describes: (1) CVE-2022-22047 as a Windows Client Server Runtime Subsystem (CSRSS) elevation-of-privilege vulnerability exploited in the wild, affecting Windows 11 (and earlier versions) and Windows Server 2022 (and earlier). (2) CVE-2021-36260 as a command injection flaw in Hikvision cameras with large numbers of devices remaining unpatched. (3) CVE-2023-6345 as a Chrome vulnerability in Skia where an exploit is publicly available, affecting Chrome versions prior to 119.0.6045.199. (4) CVE-2022-44698 as a zero-day used to bypass Mark-of-the-Web warnings for Magniber distribution; it was later patched by Microsoft.","[{'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'A Windows 11 vulnerability... is being exploited in the wild... concerns CVE-2022-22047'}, {'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'command injection flaw in Hikvision cameras was revealed... as CVE-2021-36260'}, {'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'Google is tracking as CVE-2023-6345... an exploit for it is publicly available'}, {'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'exploiting the zero-day vulnerability CVE-2022-44698 to bypass Mark-of-the-Web (MOTW) security warnings'}]","{'actors': ['CISA', 'Google', 'Microsoft'], 'malware': ['Magniber'], 'cves': ['CVE-2022-22047', 'CVE-2021-36260', 'CVE-2023-6345', 'CVE-2022-44698'], 'sectors': [], 'regions': [], 'mitre': []}","{'from': '2021-01-01', 'to': '2023-12-31'}",high
4,"Which malware is reported to leverage legitimate remote-access tooling or services, and what specific legitimate tools are named?",True,Vultur is reported to abuse legitimate applications AlphaVNC and ngrok for remotely accessing a VNC server on the victim device.,"[{'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'stood out for the abuse of the legitimate applications AlphaVNC and ngrok for remotely accessing the VNC server on the victim device'}]","{'actors': [], 'malware': ['Vultur', 'AlphaVNC', 'ngrok'], 'cves': [], 'sectors': ['Financial services'], 'regions': [], 'mitre': []}","{'from': '2021-03-01', 'to': None}",high
5,"What is the multi-step infection chain described for an SMS-based mobile malware campaign, including the social engineering steps and payload delivery components?",True,"The SMS-based campaign described is for Vultur. The infection chain begins with an SMS instructing the victim to call a phone number about an unauthorized large transaction. During the call, a second SMS is received containing a link to a modified McAfee Security package. The modified app retains legitimate McAfee functionality and includes the Brunhilda dropper framework, which deploys Vultur via three payloads, where the latter two invoke each other's functionality.","[{'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'infection chain starts with a SMS message instructing the victim to call a phone number'}, {'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'a second SMS message that includes a link to a modified McAfee Security package is received'}, {'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'along with the dropper-framework called Brunhilda, which deploys Vultur via three payloads'}]","{'actors': ['NCC Group'], 'malware': ['Vultur', 'Brunhilda', 'McAfee Security (modified)'], 'cves': [], 'sectors': ['Financial services'], 'regions': [], 'mitre': []}","{'from': '2021-03-01', 'to': None}",high
6,"Which actors are connected to the targeting of government and military installations, and what compromised platform and malware components are described?",True,"ToddyCat is described as conducting attacks targeting Microsoft Exchange servers of high-profile government and military installations. The first wave exclusively targeted Microsoft Exchange Servers, which were compromised with a passive backdoor called Samurai (typically on ports 80 and 443). Researchers also describe a second passive backdoor in the Exchange environment, Ninja, used alongside Samurai to take complete control of victim hardware and network.","[{'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'ToddyCat... attacks targeting Microsoft Exchange servers of high-profile government and military installations'}, {'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'Exchange Servers... compromised with Samurai, a sophisticated passive backdoor that usually works on ports 80 and 443'}, {'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'two passive backdoors... called Samurai and Ninja'}]","{'actors': ['ToddyCat'], 'malware': ['Samurai', 'Ninja'], 'cves': [], 'sectors': ['Government', 'Military'], 'regions': ['Asia', 'Europe'], 'mitre': []}","{'from': '2020-12-01', 'to': None}",high
7,"Which malware or actor activity is associated with exploitation of SOHO routers, and what post-compromise capabilities are described on local networks?",True,"ZuoRAT is described as exploiting known vulnerabilities to target popular SOHO routers from Cisco, Netgear, Asus and others. Post-compromise capabilities include accessing the local LAN, capturing packets transmitted on the device, and staging man-in-the-middle attacks via DNS and HTTPS hijacking, with the ability to hop from a SOHO device into the LAN and stage further attacks.","[{'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'exploiting known vulnerabilities to target popular SOHO routers from Cisco Systems, Netgear, Asus'}, {'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'can access the local LAN, capture packets... and stage man-in-the-middle attacks through DNS and HTTPS hijacking'}]","{'actors': ['Black Lotus Labs', 'Lumen Technologies'], 'malware': ['ZuoRAT'], 'cves': [], 'sectors': [], 'regions': [], 'mitre': []}","{'from': '2020-04-01', 'to': None}",high
8,"Which ransomware group is described as using both phishing and named lateral movement and deployment utilities, and what are the specific tools and scripts involved?",True,"Rhysida is described as typically gaining access through phishing, then using Cobalt Strike for lateral movement and PsExec to deploy PowerShell scripts and the Rhysida ransomware payload. The PowerShell script is named g.ps1 (Trojan.PS1.SILENTKILL.A) and is used for actions including terminating antivirus processes, erasing shadow copies, altering RDP configurations, and modifying the AD password.","[{'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'Rhysida typically gains access... through phishing tactics, followed by the use of Cobalt Strike for lateral movement'}, {'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'use PsExec to deploy both PowerShell scripts and the Rhysida ransomware payload'}, {'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'PowerShell script, known as g.ps1... including terminating antivirus... erasing shadow copies... altering... RDP... modifying the active directory (AD) password'}]","{'actors': ['Rhysida (threat actor)', 'U.S. Department of Health and Human Services (HC3)'], 'malware': ['Rhysida', 'Cobalt Strike', 'PsExec', 'g.ps1', 'Trojan.PS1.SILENTKILL.A'], 'cves': [], 'sectors': ['Healthcare'], 'regions': ['United States', 'Chile'], 'mitre': []}","{'from': '2023-05-01', 'to': None}",high
9,"Which ransomware family is linked to a data leak site and the publication of stolen data, and what kinds of victim data are described as leaked?",True,"RansomExx is described as having started a leak site for publishing stolen data, and as publishing stolen information including personal information and credit card details (example given: data about volunteers of a Scottish mental health charity).","[{'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'the group also started a leak site for publishing stolen data'}, {'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'published 12GB worth of data that included the personal information and even credit card details'}]","{'actors': ['RansomExx (operators)'], 'malware': ['RansomExx', 'Defray777'], 'cves': [], 'sectors': ['Government', 'Manufacturing', 'Healthcare'], 'regions': ['Scotland'], 'mitre': []}","{'from': '2018-01-01', 'to': '2022-03-31'}",high
10,"Which attack is described as breaching corporate networks via exploitation of a managed file transfer product vulnerability, and what categories of data were stolen according to the text?",True,"Clop operators are described as exploiting a SolarWinds Serv-U vulnerability (CVE-2021-35211) to breach corporate networks and deliver Clop ransomware. In one reported victim (a maritime services giant headquartered in Singapore), the stolen data included classified proprietary commercial information and employee data such as bank account details, payroll information, passports, email addresses, and internal correspondence.","[{'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'exploited a SolarWinds Serv-U vulnerability to breach corporate networks and deliver the Clop ransomware'}, {'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'steal classified proprietary commercial information and employee data that included bank account details, payroll information, passports, email addresses, and internal correspondence'}]","{'actors': ['Clop operators'], 'malware': ['Clop', 'SolarWinds Serv-U'], 'cves': ['CVE-2021-35211'], 'sectors': ['Maritime services'], 'regions': ['Singapore'], 'mitre': []}","{'from': '2021-11-01', 'to': '2021-11-30'}",high
