id,category,question,answerable,answer,confidence,evidence,normalized_entities
1,simple,What published date is recorded for CVE-2023-4966?,True,2023-10-10,,,
2,simple,What type is the incident citrixbleed-observed-exploitation-2023-10-10?,True,intrusion,,,
3,simple,What type is the incident spectralblur-macos-backdoor-discovery?,True,intrusion,,,
4,simple,What sponsor is listed for the threat actor Lazarus?,True,North Korea,,,
5,simple,What sponsor is listed for the threat actor BlueNoroff?,True,North Korea,,,
6,simple,What is the motivation type node linked to Lazarus?,True,espionage,,,
7,simple,What technique tactic is recorded for technique T1185?,True,Credential Access,,,
8,simple,What technique tactic is recorded for technique T1203?,True,Execution,,,
9,simple,What technique tactic is recorded for technique T1110?,True,Credential Access,,,
10,simple,What technique tactic is recorded for technique T1210?,True,Lateral Movement,,,
11,simple,What framework is recorded for mitigation Patch Management?,True,General,,,
12,simple,What control_id is recorded for mitigation Patch Management?,True,PATCH,,,
13,simple,What country name corresponds to iso2 UA?,True,Ukraine,,,
14,simple,What sector property is set on victim Cryptocurrency and blockchain industries?,True,Technology,,,
15,simple,What service value is set for the generic C2 infrastructure?,True,C2 Server,,,
16,single_hop,Which CVE does the CitrixBleed incident exploit?,True,CVE-2023-4966,,,
17,single_hop,On what date did the CitrixBleed incident occur?,True,2023-10-10,,,
18,single_hop,Which mitigation is linked to the CitrixBleed incident?,True,Patch Management,,,
19,single_hop,Which techniques are used by the CitrixBleed incident?,True,"T1185, T1203",,,
20,single_hop,Which malware are involved in the SpectralBlur discovery incident?,True,"SpectralBlur, KANDYKORN, RustBucket, ObjCShellz",,,
21,single_hop,Which threat actors is the SpectralBlur discovery incident attributed to?,True,"Lazarus, BlueNoroff",,,
22,single_hop,Which victim is targeted by the SpectralBlur discovery incident?,True,Cryptocurrency and blockchain industries,,,
23,single_hop,Which technique is used for command and control in the SpectralBlur discovery incident?,True,TA0011,,,
24,single_hop,Which malware abuses the C2 infrastructure service C2 Server?,True,SpectralBlur,,,
25,single_hop,Which C2 service does PurpleFox abuse?,True,WebSocket,,,
26,single_hop,Which campaign includes the malware PurpleFox?,True,PurpleFox disguised as Telegram Desktop (Jan 2022),,,
27,single_hop,In which country did incident UAC-0027-2022-01 occur?,True,Ukraine,,,
28,single_hop,Which techniques are used by incident UAC-0027-2022-01?,True,"T1204, T1110, T1210",,,
29,single_hop,Which campaign does incident UAC-0027-2022-01 use?,True,PurpleFox disguised as Telegram Desktop (Jan 2022),,,
30,single_hop,Which threat actor is incident UAC-0027-2022-01 attributed to?,True,UAC-0027,,,
31,multi_hop,How many techniques are linked to the CitrixBleed incident?,True,2,,,
32,multi_hop,What are the technique tactics used in the CitrixBleed incident?,True,"Credential Access, Execution",,,
33,multi_hop,What is the time gap between CVE publication and first_seen exploitation?,True,0 days,,,
34,multi_hop,Which technique phases are recorded for the CitrixBleed incident?,True,"Initial Access, Execution",,,
35,multi_hop,Which CVE exploited in CitrixBleed maps to the incident’s used techniques?,True,CVE-2023-4966,,,
36,multi_hop,Which sponsor is shared by Lazarus and BlueNoroff?,True,North Korea,,,
37,multi_hop,Which motivation type is shared by Lazarus and BlueNoroff?,True,espionage,,,
38,multi_hop,How many distinct threat actors are attributed to the SpectralBlur discovery incident?,True,2,,,
39,multi_hop,How many malware are included in the BlueNoroff macOS infection chain campaign?,True,3,,,
40,multi_hop,Which malware are both in the campaign and in the SpectralBlur incident?,True,"KANDYKORN, RustBucket, ObjCShellz",,,
41,multi_hop,Which threat actor included in the campaign is an alias of Lazarus?,True,BlueNoroff,,,
42,multi_hop,Which campaign includes a threat actor attributed to the SpectralBlur incident?,True,BlueNoroff macOS infection chain (KANDYKORN/RustBucket/ObjCShellz),,,
43,multi_hop,How many techniques in incident UAC-0027-2022-01 have phase Lateral Movement?,True,2,,,
44,multi_hop,Which technique IDs in incident UAC-0027-2022-01 use phase Lateral Movement?,True,"T1110, T1210",,,
45,multi_hop,What date is shared by the PurpleFox campaign occurrence and incident date?,True,2022-01-01,,,
46,unanswerable,What CVSS base score is recorded for CVE-2023-4966?,False,,,,
47,unanswerable,Which exact NetScaler product versions are affected by CVE-2023-4966?,False,,,,
48,unanswerable,What file hash is associated with the SpectralBlur malware sample?,False,,,,
49,unanswerable,What specific exploit CVE does PurpleFox use for remote propagation?,False,,,,
50,unanswerable,What command-and-control domain is used by PurpleFox WebSocket infrastructure?,False,,,,
1,guided,"Which vulnerability is described as leaking sensitive information from a device's memory, and what type of credential artifact can it expose that enables follow-on access?",True,"CVE-2023-4966 (""Citrix Bleed"") is described as leaking sensitive information from device memory, including session tokens, which can then be used for session hijacking to gain a foothold.",high,"[{'source_id': 'CTI_TEXTS_1', 'page': 1, 'quote': ""Citrix Bleed (CVE-2023-4966)... can leak sensitive information from the device's memory, which can include session tokens. Attackers can then use these credentials to gain a foothold... via session hijacking.""}]","{'actors': [], 'malware': [], 'cves': ['CVE-2023-4966'], 'sectors': [], 'regions': [], 'mitre': []}"
2,guided,"Which product family is associated with the vulnerability known as Citrix Bleed, and what defensive action is mentioned as addressing it?",True,"Citrix Bleed (CVE-2023-4966) is associated with Citrix NetScaler ADC and NetScaler Gateway products, and a Citrix patch is mentioned as the mitigation.",high,"[{'source_id': 'CTI_TEXTS_1', 'page': 1, 'quote': 'Citrix published a patch for their Netscaler ADC and Netscaler Gateway products... known as Citrix Bleed (CVE-2023-4966).'}]","{'actors': [], 'malware': [], 'cves': ['CVE-2023-4966'], 'sectors': [], 'regions': [], 'mitre': []}"
3,guided,"Which threat category is observed exploiting Citrix Bleed, and what part of the affected product is reported as associated with remote execution activity?",True,"Ransomware groups were observed exploiting Citrix Bleed (CVE-2023-4966), and remote executions were observed from NetScaler gateways in association with exploitation.",medium,"[{'source_id': 'CTI_TEXTS_1', 'page': 1, 'quote': 'The Unit 42... teams have observed ransomware groups exploiting Citrix Bleed... observed what appeared to be remote executions from Netscaler gateways in association with exploitation of this vulnerability.'}]","{'actors': ['Ransomware groups'], 'malware': [], 'cves': ['CVE-2023-4966'], 'sectors': [], 'regions': [], 'mitre': []}"
4,guided,"What macOS backdoor is reported to overlap with a malware family attributed to a nation-state, and what remote capabilities are explicitly listed for it?",True,"SpectralBlur is the macOS backdoor reported, and it can upload/download files, run a shell, update configuration, delete files, and hibernate or sleep based on C2 commands.",high,"[{'source_id': 'CTI_TEXTS_2', 'page': 1, 'quote': 'a new Apple macOS backdoor called SpectralBlur... can upload/download files, run a shell, update its configuration, delete files, hibernate, or sleep, based on commands issued from the command-and-control server'}]","{'actors': ['North Korean threat actors'], 'malware': ['SpectralBlur'], 'cves': [], 'sectors': [], 'regions': ['North Korea'], 'mitre': []}"
5,guided,"Which malware is described as a modular Windows botnet with a rootkit module, and what persistence-related behavior is explicitly attributed to that module?",True,PurpleFox (aka DirtyMoe) is described as a modular Windows botnet malware with a rootkit module that allows it to hide and persist between device reboots.,high,"[{'source_id': 'CTI_TEXTS_3', 'page': 1, 'quote': ""PurpleFox (or 'DirtyMoe') is a modular Windows botnet malware... with a rootkit module allowing it to hide and persist between device reboots.""}]","{'actors': [], 'malware': ['PurpleFox', 'DirtyMoe'], 'cves': [], 'sectors': [], 'regions': [], 'mitre': []}"
6,guided,Which malware is described as capable of functioning as a DDoS bot in addition to backdoor/downloader roles?,True,"PurpleFox (DirtyMoe) is described as offering backdoor capabilities, acting as a downloader for second-stage payloads, and also acting as a distributed denial of service (DDoS) bot.",high,"[{'source_id': 'CTI_TEXTS_3', 'page': 1, 'quote': 'It can be used as a downloader... offers its operators backdoor capabilities, and can also act as a distributed denial of service (DDoS) bot.'}]","{'actors': [], 'malware': ['PurpleFox', 'DirtyMoe'], 'cves': [], 'sectors': [], 'regions': [], 'mitre': []}"
7,guided,"Which malware family is reported to have switched its command-and-control communications to WebSocket for stealth, and what is the stated reason for this change?",True,"PurpleFox is reported to have switched to using WebSocket for command-and-control (C2) communications, and the stated purpose is stealth.",high,"[{'source_id': 'CTI_TEXTS_3', 'page': 1, 'quote': 'new versions of PurpleFox switched to using WebSocket for command and control (C2) communications for stealth.'}]","{'actors': [], 'malware': ['PurpleFox', 'DirtyMoe'], 'cves': [], 'sectors': [], 'regions': [], 'mitre': []}"
8,guided,"Which organization is stated to track PurpleFox infections under an activity identifier, and what is that identifier?",True,CERT-UA is stated to track PurpleFox infections under the identifier UAC-0027.,high,"[{'source_id': 'CTI_TEXTS_3', 'page': 1, 'quote': ""CERT-UA... [is] tracking the activity under the identifier 'UAC-0027'.""}]","{'actors': ['CERT-UA', 'UAC-0027'], 'malware': ['PurpleFox', 'DirtyMoe'], 'cves': [], 'sectors': [], 'regions': ['Ukraine'], 'mitre': []}"
9,guided,"MULTI-HOP: Which vulnerability affects which products, and what is the reported exploitation chain from vulnerability impact to the attacker gaining a foothold?",True,"CVE-2023-4966 (Citrix Bleed) affects Citrix NetScaler ADC and NetScaler Gateway products; it leaks sensitive memory contents including session tokens, which attackers can use for session hijacking to gain a foothold.",high,"[{'source_id': 'CTI_TEXTS_1', 'page': 1, 'quote': 'patch for their Netscaler ADC and Netscaler Gateway products... Citrix Bleed (CVE-2023-4966)... can leak... session tokens... use these credentials... via session hijacking.'}]","{'actors': [], 'malware': [], 'cves': ['CVE-2023-4966'], 'sectors': [], 'regions': [], 'mitre': []}"
10,guided,"MULTI-HOP: Which malware delivery relationship is described between RustBucket and KANDYKORN, and which named threat-actor subgroup is associated with the campaign intersection?",True,"The text describes RustBucket droppers being used to deliver KANDYKORN, and states that the KANDYKORN activity intersects with a campaign by the Lazarus sub-group BlueNoroff (TA444).",medium,"[{'source_id': 'CTI_TEXTS_2', 'page': 1, 'quote': 'KANDYKORN activity also intersects with another campaign orchestrated by the Lazarus sub-group known as BlueNoroff (aka TA444)... leveraging RustBucket droppers to deliver KANDYKORN.'}]","{'actors': ['Lazarus', 'BlueNoroff', 'TA444', 'North Korean threat actors'], 'malware': ['KANDYKORN', 'SockRacket', 'RustBucket', 'ObjCShellz', 'SpectralBlur'], 'cves': [], 'sectors': [], 'regions': ['North Korea'], 'mitre': []}"
11,guided,"MULTI-HOP: What targeting pattern is described for North Korean threat actors on macOS, and which malware family/implant relationships support that assessment?",True,"North Korean threat actors are described as increasingly targeting macOS to infiltrate high-value targets, particularly in the cryptocurrency and blockchain industries; the assessment is supported by overlaps among SpectralBlur, KANDYKORN (SockRacket), and the BlueNoroff (TA444) infection chain involving RustBucket and ObjCShellz, including observed combinations where RustBucket delivers KANDYKORN.",medium,"[{'source_id': 'CTI_TEXTS_2', 'page': 1, 'quote': 'North Korean threat actors are increasingly setting their sights on macOS... particularly those within the cryptocurrency and the blockchain industries... leveraging RustBucket droppers to deliver KANDYKORN.'}]","{'actors': ['North Korean threat actors', 'Lazarus', 'BlueNoroff', 'TA444'], 'malware': ['SpectralBlur', 'KANDYKORN', 'SockRacket', 'RustBucket', 'ObjCShellz'], 'cves': [], 'sectors': ['Cryptocurrency industry', 'Blockchain industry'], 'regions': ['North Korea'], 'mitre': []}"
12,guided,"MULTI-HOP: Which malware is tracked under an activity identifier, what infection vectors are described for it, and what propagation methods are highlighted?",True,"PurpleFox is tracked by CERT-UA as UAC-0027; it is described as infecting systems when victims launch laced MSI installers and as being spread in a campaign disguised as a Telegram desktop app, and it has self-propagation using exploits for known flaws and password brute-forcing.",high,"[{'source_id': 'CTI_TEXTS_3', 'page': 1, 'quote': ""tracking the activity under the identifier 'UAC-0027'... typically infects systems when victims launch laced MSI installers... highlights its self-propagation capabilities using exploits for known flaws and password brute-forcing... spread... under the guise of a Telegram desktop app.""}]","{'actors': ['CERT-UA', 'UAC-0027'], 'malware': ['PurpleFox', 'DirtyMoe'], 'cves': [], 'sectors': [], 'regions': ['Ukraine'], 'mitre': []}"
13,guided,"MULTI-HOP: Which vulnerability is associated with observed ransomware exploitation, and what sequence of exploitation outcomes is described from initial patching to attacker activity?",True,"CVE-2023-4966 (Citrix Bleed) is associated with observed ransomware group exploitation; the text notes a patch was published and later Citrix stated it observed threat actors using it, and responders observed ransomware exploitation plus apparent remote executions from NetScaler gateways tied to exploitation.",medium,"[{'source_id': 'CTI_TEXTS_1', 'page': 1, 'quote': 'Citrix published a patch... Citrix was unaware of ongoing attacks... but has since stated that they have observed threat actors using it... observed ransomware groups exploiting Citrix Bleed... remote executions from Netscaler gateways in association with exploitation'}]","{'actors': ['Ransomware groups'], 'malware': [], 'cves': ['CVE-2023-4966'], 'sectors': [], 'regions': [], 'mitre': []}"
14,guided,"MULTI-HOP: Which macOS backdoor overlaps with which malware family, and what command-and-control dependency is stated for execution of its capabilities?",True,"SpectralBlur overlaps with a known malware family attributed to North Korean threat actors, and its actions (e.g., file upload/download, shell, configuration updates) are stated to be driven by commands issued from a command-and-control server.",medium,"[{'source_id': 'CTI_TEXTS_2', 'page': 1, 'quote': 'SpectralBlur... overlaps with a known malware family that has been attributed to North Korean threat actors... based on commands issued from the command-and-control server.'}]","{'actors': ['North Korean threat actors'], 'malware': ['SpectralBlur'], 'cves': [], 'sectors': [], 'regions': ['North Korea'], 'mitre': []}"
15,guided,What specific industries are identified as high-value targets for the macOS-focused activity attributed to North Korean threat actors?,True,The cryptocurrency and blockchain industries are explicitly identified as the high-value target areas for the macOS-focused activity attributed to North Korean threat actors.,high,"[{'source_id': 'CTI_TEXTS_2', 'page': 1, 'quote': 'infiltrate high-value targets, particularly those within the cryptocurrency and the blockchain industries.'}]","{'actors': ['North Korean threat actors'], 'malware': ['SpectralBlur', 'KANDYKORN', 'SockRacket', 'RustBucket', 'ObjCShellz'], 'cves': [], 'sectors': ['Cryptocurrency industry', 'Blockchain industry'], 'regions': ['North Korea'], 'mitre': []}"
16,guided,"What distribution method is described for PurpleFox in which it was presented as legitimate software, and what application brand was used as the disguise?",True,A campaign is described as spreading PurpleFox under the guise of a Telegram desktop app.,high,"[{'source_id': 'CTI_TEXTS_3', 'page': 1, 'quote': 'a campaign spread the malware under the guise of a Telegram desktop app.'}]","{'actors': [], 'malware': ['PurpleFox', 'DirtyMoe'], 'cves': [], 'sectors': [], 'regions': [], 'mitre': []}"
