id,question,answerable,answer,evidence,normalized_entities,timeframe,confidence
1,"Which vulnerability is described as leaking sensitive information from a device's memory, and what type of credential artifact can it expose that enables follow-on access?",True,"CVE-2023-4966 (""Citrix Bleed"") is described as leaking sensitive information from device memory, including session tokens, which can then be used for session hijacking to gain a foothold.","[{'source_id': 'CTI_TEXTS_1', 'page': 1, 'quote': ""Citrix Bleed (CVE-2023-4966)... can leak sensitive information from the device's memory, which can include session tokens. Attackers can then use these credentials to gain a foothold... via session hijacking.""}]","{'actors': [], 'malware': [], 'cves': ['CVE-2023-4966'], 'sectors': [], 'regions': [], 'mitre': []}","{'from': '2023-10-10', 'to': None}",high
2,"Which product family is associated with the vulnerability known as Citrix Bleed, and what defensive action is mentioned as addressing it?",True,"Citrix Bleed (CVE-2023-4966) is associated with Citrix NetScaler ADC and NetScaler Gateway products, and a Citrix patch is mentioned as the mitigation.","[{'source_id': 'CTI_TEXTS_1', 'page': 1, 'quote': 'Citrix published a patch for their Netscaler ADC and Netscaler Gateway products... known as Citrix Bleed (CVE-2023-4966).'}]","{'actors': [], 'malware': [], 'cves': ['CVE-2023-4966'], 'sectors': [], 'regions': [], 'mitre': []}","{'from': '2023-10-10', 'to': None}",high
3,"Which threat category is observed exploiting Citrix Bleed, and what part of the affected product is reported as associated with remote execution activity?",True,"Ransomware groups were observed exploiting Citrix Bleed (CVE-2023-4966), and remote executions were observed from NetScaler gateways in association with exploitation.","[{'source_id': 'CTI_TEXTS_1', 'page': 1, 'quote': 'The Unit 42... teams have observed ransomware groups exploiting Citrix Bleed... observed what appeared to be remote executions from Netscaler gateways in association with exploitation of this vulnerability.'}]","{'actors': ['Ransomware groups'], 'malware': [], 'cves': ['CVE-2023-4966'], 'sectors': [], 'regions': [], 'mitre': []}","{'from': '2023-10-10', 'to': None}",medium
4,"What macOS backdoor is reported to overlap with a malware family attributed to a nation-state, and what remote capabilities are explicitly listed for it?",True,"SpectralBlur is the macOS backdoor reported, and it can upload/download files, run a shell, update configuration, delete files, and hibernate or sleep based on C2 commands.","[{'source_id': 'CTI_TEXTS_2', 'page': 1, 'quote': 'a new Apple macOS backdoor called SpectralBlur... can upload/download files, run a shell, update its configuration, delete files, hibernate, or sleep, based on commands issued from the command-and-control server'}]","{'actors': ['North Korean threat actors'], 'malware': ['SpectralBlur'], 'cves': [], 'sectors': [], 'regions': ['North Korea'], 'mitre': []}","{'from': None, 'to': None}",high
5,"Which malware is described as a modular Windows botnet with a rootkit module, and what persistence-related behavior is explicitly attributed to that module?",True,PurpleFox (aka DirtyMoe) is described as a modular Windows botnet malware with a rootkit module that allows it to hide and persist between device reboots.,"[{'source_id': 'CTI_TEXTS_3', 'page': 1, 'quote': ""PurpleFox (or 'DirtyMoe') is a modular Windows botnet malware... with a rootkit module allowing it to hide and persist between device reboots.""}]","{'actors': [], 'malware': ['PurpleFox', 'DirtyMoe'], 'cves': [], 'sectors': [], 'regions': [], 'mitre': []}","{'from': '2018-01-01', 'to': None}",high
6,Which malware is described as capable of functioning as a DDoS bot in addition to backdoor/downloader roles?,True,"PurpleFox (DirtyMoe) is described as offering backdoor capabilities, acting as a downloader for second-stage payloads, and also acting as a distributed denial of service (DDoS) bot.","[{'source_id': 'CTI_TEXTS_3', 'page': 1, 'quote': 'It can be used as a downloader... offers its operators backdoor capabilities, and can also act as a distributed denial of service (DDoS) bot.'}]","{'actors': [], 'malware': ['PurpleFox', 'DirtyMoe'], 'cves': [], 'sectors': [], 'regions': [], 'mitre': []}","{'from': '2018-01-01', 'to': None}",high
7,"Which malware family is reported to have switched its command-and-control communications to WebSocket for stealth, and what is the stated reason for this change?",True,"PurpleFox is reported to have switched to using WebSocket for command-and-control (C2) communications, and the stated purpose is stealth.","[{'source_id': 'CTI_TEXTS_3', 'page': 1, 'quote': 'new versions of PurpleFox switched to using WebSocket for command and control (C2) communications for stealth.'}]","{'actors': [], 'malware': ['PurpleFox', 'DirtyMoe'], 'cves': [], 'sectors': [], 'regions': [], 'mitre': []}","{'from': '2021-10-01', 'to': None}",high
8,"Which organization is stated to track PurpleFox infections under an activity identifier, and what is that identifier?",True,CERT-UA is stated to track PurpleFox infections under the identifier UAC-0027.,"[{'source_id': 'CTI_TEXTS_3', 'page': 1, 'quote': ""CERT-UA... [is] tracking the activity under the identifier 'UAC-0027'.""}]","{'actors': ['CERT-UA', 'UAC-0027'], 'malware': ['PurpleFox', 'DirtyMoe'], 'cves': [], 'sectors': [], 'regions': ['Ukraine'], 'mitre': []}","{'from': '2022-01-01', 'to': None}",high
9,"MULTI-HOP: Which vulnerability affects which products, and what is the reported exploitation chain from vulnerability impact to the attacker gaining a foothold?",True,"CVE-2023-4966 (Citrix Bleed) affects Citrix NetScaler ADC and NetScaler Gateway products; it leaks sensitive memory contents including session tokens, which attackers can use for session hijacking to gain a foothold.","[{'source_id': 'CTI_TEXTS_1', 'page': 1, 'quote': 'patch for their Netscaler ADC and Netscaler Gateway products... Citrix Bleed (CVE-2023-4966)... can leak... session tokens... use these credentials... via session hijacking.'}]","{'actors': [], 'malware': [], 'cves': ['CVE-2023-4966'], 'sectors': [], 'regions': [], 'mitre': []}","{'from': '2023-10-10', 'to': None}",high
10,"MULTI-HOP: Which malware delivery relationship is described between RustBucket and KANDYKORN, and which named threat-actor subgroup is associated with the campaign intersection?",True,"The text describes RustBucket droppers being used to deliver KANDYKORN, and states that the KANDYKORN activity intersects with a campaign by the Lazarus sub-group BlueNoroff (TA444).","[{'source_id': 'CTI_TEXTS_2', 'page': 1, 'quote': 'KANDYKORN activity also intersects with another campaign orchestrated by the Lazarus sub-group known as BlueNoroff (aka TA444)... leveraging RustBucket droppers to deliver KANDYKORN.'}]","{'actors': ['Lazarus', 'BlueNoroff', 'TA444', 'North Korean threat actors'], 'malware': ['KANDYKORN', 'SockRacket', 'RustBucket', 'ObjCShellz', 'SpectralBlur'], 'cves': [], 'sectors': [], 'regions': ['North Korea'], 'mitre': []}","{'from': None, 'to': None}",medium
