id,question,answerable,answer,evidence,normalized_entities,timeframe,confidence
1,"Which threat actor exploited a Windows privilege-escalation vulnerability to enable a rootkit, and what was the vulnerability identifier?",True,Lazarus exploited the Windows privilege-escalation vulnerability CVE-2024-21338 to elevate privileges and enable an updated version of the FudModule rootkit. Timeframe referenced: the vulnerability was observed in attacks the prior year and patched in Microsoft's February Patch Tuesday updates.,"[{'source_id': 'CTI_TEXTS_5', 'page': 1, 'quote': 'The notorious North Korean threat group known as Lazarus exploited a Windows zero-day vulnerability for privilege escalation in attacks involving a rootkit named FudModule... tracked as CVE-2024-21338'}]","{'actors': ['Lazarus'], 'malware': ['FudModule'], 'cves': ['CVE-2024-21338'], 'sectors': [], 'regions': ['North Korea'], 'mitre': []}","{'from': None, 'to': None}",high
2,"Which commercial surveillance vendor’s iPhone exploit chain was used to install spyware, and which CVE identifiers were patched to remediate it?",True,"Intellexa developed the in-the-wild iPhone exploit chain used to install Predator spyware. Apple patched the chain as CVE-2023-41991, CVE-2023-41992, and CVE-2023-41993. Timeframe referenced: Apple patched in iOS 16.7 and iOS 17.0.1 after discovery by Google TAG and The Citizen Lab.","[{'source_id': 'CTI_TEXTS_7', 'page': 1, 'quote': 'Developed by the commercial surveillance vendor, Intellexa, this exploit chain is used to install its Predator spyware... Apple patched the bugs... as CVE-2023-41991, CVE-2023-41992, CVE-2023-41993'}]","{'actors': ['Intellexa', 'Google Threat Analysis Group', 'The Citizen Lab'], 'malware': ['Predator'], 'cves': ['CVE-2023-41991', 'CVE-2023-41992', 'CVE-2023-41993'], 'sectors': [], 'regions': [], 'mitre': []}","{'from': None, 'to': None}",high
3,Which Chinese cyber espionage group exploited a vCenter Server zero-day and what follow-on backdoors and privilege-escalation flaw were used on ESXi hosts?,True,UNC3886 exploited the vCenter Server vulnerability CVE-2023-34048 and then used compromised credentials to deploy VirtualPita and VirtualPie backdoors on ESXi hosts; they later exploited CVE-2023-20867 (VMware Tools authentication bypass) to escalate privileges and exfiltrate files. Timeframe referenced: exploited as a zero-day since at least late 2021 and patched in October (year not required by question).,"[{'source_id': 'CTI_TEXTS_8', 'page': 1, 'quote': 'The flaw... CVE-2023-34048... used by the UNC3886 Chinese cyber espionage group... deploy VirtualPita and VirtualPie backdoors... exploited the CVE-2023-20867 VMware Tools authentication bypass flaw to escalate privileges, harvest files, and exfiltrate them'}]","{'actors': ['UNC3886'], 'malware': ['VirtualPita', 'VirtualPie'], 'cves': ['CVE-2023-34048', 'CVE-2023-20867'], 'sectors': [], 'regions': ['China'], 'mitre': []}","{'from': '2021-10-01', 'to': None}",high
4,"Which threat actor exploited Barracuda Email Security Gateway appliances via a zero-day delivered through a crafted spreadsheet attachment, and which implants were deployed for persistence and command execution?",True,"UNC4841 exploited Barracuda Email Security Gateway (ESG) appliances via CVE-2023-7102 using a specially crafted Microsoft Excel email attachment, then deployed SEASPY and SALTWATER implants that provide persistence and command execution. Timeframe referenced: the actor was previously linked to active exploitation of CVE-2023-2868 earlier in the same year as reporting.","[{'source_id': 'CTI_TEXTS_6', 'page': 1, 'quote': 'Chinese threat actors exploited a new zero-day in its Email Security Gateway (ESG) appliances... Tracked as CVE-2023-7102... accomplished by means of a specially crafted Microsoft Excel email attachment... deployment of... SEASPY and SALTWATER'}]","{'actors': ['UNC4841'], 'malware': ['SEASPY', 'SALTWATER'], 'cves': ['CVE-2023-7102', 'CVE-2023-2868'], 'sectors': ['Telecommunications'], 'regions': ['China'], 'mitre': []}","{'from': None, 'to': None}",high
5,"Which vulnerability in Zimbra Collaboration Suite was used by multiple attack groups to steal email data and credentials, and what was the vulnerability class?",True,"Multiple groups exploited CVE-2023-37580 in Zimbra Collaboration Suite to steal email data, user credentials, and authentication tokens; the vulnerability class was reflected cross-site scripting (XSS). Timeframe referenced: exploitation started in June (year not required by question) before remediation was available.","[{'source_id': 'CTI_TEXTS_3', 'page': 1, 'quote': 'At least four separate cyberattack groups have used... (CVE-2023-37580)... to steal email data, user credentials, and authentication tokens... a reflected cross-site scripting (XSS) vulnerability'}]","{'actors': ['Google Threat Analysis Group'], 'malware': [], 'cves': ['CVE-2023-37580'], 'sectors': ['Government'], 'regions': ['Global'], 'mitre': []}","{'from': None, 'to': None}",high
6,"Which publicly disclosed utility vulnerability was exploited to deploy both coin miners and ransomware payloads, and which malware/ransomware families were explicitly cited as deployed?",True,"The Log4j vulnerability CVE-2021-44228 (Log4Shell) was exploited to deploy payloads including coin miners, Dridex malware, and Conti ransomware. Timeframe referenced: exploitation followed public disclosure on December 9 (year not required by question).","[{'source_id': 'CTI_TEXTS_2', 'page': 1, 'quote': 'The initial remote code execution vulnerability (CVE-2021-44228) has been dubbed Log4Shell... exploited to deploy... coin miners, Dridex malware, and even ransomware such as Conti'}]","{'actors': [], 'malware': ['Dridex', 'Conti'], 'cves': ['CVE-2021-44228'], 'sectors': [], 'regions': [], 'mitre': []}","{'from': None, 'to': None}",high
7,"Which delivery infrastructure was used to host malware linked from spam emails, and which malware families were delivered via that infrastructure?",True,"Discord (specifically the cdn.discordapp.com attachments hosting path) was used as delivery infrastructure in a malicious spam campaign that delivered AveMaria and AgentTesla malware. Timeframe referenced: malware delivery observed since 2019, with Discord use described as relatively recent.","[{'source_id': 'CTI_TEXTS_4', 'page': 1, 'quote': 'malicious actors are using Discord as part of a campaign... end in an AveMaria or AgentTesla malware infection... point to a Discord URL... used to host AveMaria and AgentTesla'}]","{'actors': [], 'malware': ['AveMaria', 'AgentTesla'], 'cves': [], 'sectors': [], 'regions': [], 'mitre': []}","{'from': '2019-01-01', 'to': None}",high
8,"Which actor is documented exploiting mail servers for use as part of an operational network, and what higher-level objectives and activity types are described for that actor?",True,"FROZENBARENTS (aka Sandworm), attributed to Russia’s GRU Unit 74455, is documented exploiting EXIM mail servers globally and using compromised hosts as part of its operational network. The actor’s campaigns are described as spanning intelligence collection, information operations (IO), and leaking hacked data via Telegram, with offensive capabilities including credential phishing, mobile activity, malware, and external exploitation of services.","[{'source_id': 'CTI_TEXTS_9', 'page': 1, 'quote': 'FROZENBARENTS (aka Sandworm)... attributed to Russian Armed Forces’... GRU Unit 74455... campaigns spanning intelligence collection, IO, and leaking hacked data through Telegram... continues to exploit EXIM mail servers globally and use these compromised hosts as part of their operational network'}]","{'actors': ['FROZENBARENTS', 'Sandworm', 'GRU Unit 74455'], 'malware': [], 'cves': [], 'sectors': ['Government', 'Defense', 'Energy', 'Transportation/Logistics', 'Education', 'Humanitarian'], 'regions': ['Russia', 'Ukraine', 'Global'], 'mitre': []}","{'from': '2019-08-01', 'to': None}",high
9,"Which vulnerability was credited to Google Threat Analysis Group reporting as actively exploited, and what product area did it affect?",True,"CVE-2022-2856 was reported by Google Threat Analysis Group (TAG) and described as an actively exploited vulnerability in Google Chrome, affecting “insufficient validation of untrusted input in Intents.” Timeframe referenced: reported on July 19 (year not required by question) and fixed in a stable channel update released Wednesday.","[{'source_id': 'CTI_TEXTS_1', 'page': 1, 'quote': 'bug, tracked as CVE-2022-2856... Google credits... Google Threat Analysis Group (TAG) for reporting the zero-day bug'}]","{'actors': ['Google Threat Analysis Group'], 'malware': [], 'cves': ['CVE-2022-2856'], 'sectors': [], 'regions': [], 'mitre': []}","{'from': None, 'to': None}",high
10,"Across the cited incidents, which CVEs are associated with remote code execution, and which one is explicitly associated with denial-of-service?",True,Remote code execution is explicitly associated with Log4j CVE-2021-44228 and CVE-2021-45046. Denial-of-service is explicitly associated with Log4j CVE-2021-45105.,"[{'source_id': 'CTI_TEXTS_2', 'page': 1, 'quote': 'three critical vulnerabilities... can lead to remote code execution (CVE-2021-44228 and CVE-2021-45046) and denial of service (CVE-2021-45105)'}]","{'actors': [], 'malware': [], 'cves': ['CVE-2021-44228', 'CVE-2021-45046', 'CVE-2021-45105'], 'sectors': [], 'regions': [], 'mitre': []}","{'from': None, 'to': None}",high
