id,question,answerable,answer,evidence,normalized_entities,timeframe,confidence
1,"Which threat actors are explicitly linked to exploiting a specific CVE, and what post-exploitation outcomes are associated with that exploitation?",True,"CVE-2023-36884 is explicitly attributed as being actively exploited by the Russian threat actor Storm-0978 (also referred to as RomCom). The described exploitation enables remote code execution by circumventing Microsoft Office Mark of the Web (MoTW) security warnings, and the actor is also described as operating ransomware-based extortion under the name 'Underground' (having previously deployed Industrial Spy ransomware).","[{'source_id': 'CTI_TEXTS-3', 'page': 1, 'quote': 'The Russian threat actor Storm-0978/RomCom is responsible for actively exploiting this vulnerability.'}, {'source_id': 'CTI_TEXTS-3', 'page': 1, 'quote': 'circumvented the Mark of the Web (MoTW) security feature... ultimately enabling remote code execution.'}, {'source_id': 'CTI_TEXTS-3', 'page': 1, 'quote': ""previously recognized for deploying the Industrial Spy ransomware... has now rebranded as 'Underground' and extorts victims through their ransomware operations.""}]","{'actors': ['Storm-0978', 'RomCom', 'Underground'], 'malware': ['Industrial Spy ransomware'], 'cves': ['CVE-2023-36884'], 'sectors': [], 'regions': ['Russia'], 'mitre': []}","{'from': None, 'to': None}",high
2,"Which software components are associated with publicly described vulnerabilities, and what impact categories are reported for each vulnerability?",True,"util-linux ('wall' command) is associated with CVE-2024-28085 ('WallEscape'), with reported impacts including leaking user passwords and modifying clipboard/command output. Chrome's Skia library is associated with CVE-2023-6345, with reported impact of enabling a sandbox escape after renderer compromise via a malicious file.","[{'source_id': 'CTI_TEXTS-1', 'page': 1, 'quote': 'tracked as CVE-2024-28085 and dubbed ‘WallEscape’, impacts the ‘wall’ command of util-linux'}, {'source_id': 'CTI_TEXTS-1', 'page': 1, 'quote': 'allows attackers to leak user passwords and modify the clipboard'}, {'source_id': 'CTI_TEXTS-2', 'page': 1, 'quote': 'Google is tracking as CVE-2023-6345... integer overflow issue in Skia'}, {'source_id': 'CTI_TEXTS-2', 'page': 1, 'quote': 'potentially perform a sandbox escape via a malicious file'}]","{'actors': [], 'malware': [], 'cves': ['CVE-2024-28085', 'CVE-2023-6345'], 'sectors': [], 'regions': [], 'mitre': []}","{'from': None, 'to': None}",high
3,"Which Linux distributions are reported as affected or not affected by the util-linux 'wall' vulnerability, and what configuration conditions enable exploitation?",True,"Ubuntu 22.04 and Debian Bookworm are reported as affected by CVE-2024-28085 ('WallEscape'), while CentOS and Red Hat products are reported as not affected. Exploitation conditions described include 'mesg' set to 'y' and 'wall' installed with setgid permissions.","[{'source_id': 'CTI_TEXTS-1', 'page': 1, 'quote': 'can be exploited to leak user passwords on Ubuntu 22.04 with default configurations, where ‘wall’ is installed with the special setgid permissions and mesg is set to y'}, {'source_id': 'CTI_TEXTS-1', 'page': 1, 'quote': 'Debian Bookworm is also affected, but CentOS and Red Hat products are not.'}]","{'actors': [], 'malware': [], 'cves': ['CVE-2024-28085'], 'sectors': [], 'regions': [], 'mitre': []}","{'from': None, 'to': None}",high
4,"Which threat actors are associated with a specific initial access vector involving internet-facing edge devices, and what follow-on credential actions are described?",True,"Volt Typhoon is described as achieving initial access through internet-facing Fortinet FortiGuard devices, then extracting credentials to an Active Directory account used by the device and attempting to authenticate to other devices using those credentials.","[{'source_id': 'CTI_TEXTS-4', 'page': 1, 'quote': 'Volt Typhoon achieves initial access to targeted organizations through internet-facing Fortinet FortiGuard devices.'}, {'source_id': 'CTI_TEXTS-4', 'page': 1, 'quote': 'extracts credentials to an Active Directory account used by the device, and then attempts to authenticate to other devices on the network with those credentials.'}]","{'actors': ['Volt Typhoon'], 'malware': [], 'cves': [], 'sectors': [], 'regions': [], 'mitre': []}","{'from': None, 'to': None}",high
5,"Which hardware manufacturers are identified as having SOHO edge devices used as proxy infrastructure by a named threat actor, and what exposed management interfaces are highlighted as a risk?",True,"Volt Typhoon is described as proxying traffic through compromised SOHO network edge devices, including routers made by ASUS, Cisco, D-Link, NETGEAR, and Zyxel. The text highlights exposed HTTP or SSH management interfaces to the internet as the key risk and recommends not exposing management interfaces publicly.","[{'source_id': 'CTI_TEXTS-4', 'page': 1, 'quote': 'proxies all its network traffic... through compromised SOHO network edge devices (including routers).'}, {'source_id': 'CTI_TEXTS-4', 'page': 1, 'quote': 'devices... manufactured by ASUS, Cisco, D-Link, NETGEAR, and Zyxel, allow the owner to expose HTTP or SSH management interfaces to the internet.'}, {'source_id': 'CTI_TEXTS-4', 'page': 1, 'quote': 'Owners of network edge devices should ensure that management interfaces are not exposed to the public internet'}]","{'actors': ['Volt Typhoon'], 'malware': [], 'cves': [], 'sectors': [], 'regions': [], 'mitre': []}","{'from': None, 'to': None}",high
6,"Which threat actors are tied to password spraying at scale, which sectors are reported as targeted, and what assessed objective is linked to this activity?",True,"Peach Sandstorm (HOLMIUM) is reported conducting password spray activity against thousands of organizations. The text states the actor pursued organizations in the satellite, defense, and pharmaceutical sectors and assesses the campaign is likely used to facilitate intelligence collection in support of Iranian state interests.","[{'source_id': 'CTI_TEXTS-8', 'page': 1, 'quote': 'Microsoft has observed password spray activity against thousands of organizations carried out by an actor we track as Peach Sandstorm (HOLMIUM).'}, {'source_id': 'CTI_TEXTS-8', 'page': 1, 'quote': 'pursued organizations in the satellite, defense, and pharmaceutical sectors around the globe.'}, {'source_id': 'CTI_TEXTS-8', 'page': 1, 'quote': 'likely used to facilitate intelligence collection in support of Iranian state interests.'}]","{'actors': ['Peach Sandstorm', 'HOLMIUM'], 'malware': [], 'cves': [], 'sectors': ['Satellite', 'Defense', 'Pharmaceutical'], 'regions': ['Iran'], 'mitre': []}","{'from': '2023-02-01', 'to': None}",high
7,"Which threat actors are linked to abusing the ms-appinstaller URI scheme for malware distribution, and what distribution vectors are described?",True,"Microsoft reports multiple threat actors (including Storm-0569, Storm-1113, Sangria Tempest, and Storm-1674) using the ms-appinstaller URI scheme (App Installer) to distribute malware. The described distribution vectors include websites reached through malicious advertisements for legitimate popular software (delivering signed malicious MSIX packages) and a second vector of phishing through Microsoft Teams (noted for Storm-1674).","[{'source_id': 'CTI_TEXTS-6', 'page': 1, 'quote': 'Microsoft Threat Intelligence has observed threat actors, including... Storm-0569, Storm-1113, Sangria Tempest, and Storm-1674, utilizing the ms-appinstaller URI scheme (App Installer) to distribute malware.'}, {'source_id': 'CTI_TEXTS-6', 'page': 1, 'quote': 'distribute signed malicious MSIX application packages using websites accessed through malicious advertisements for legitimate popular software.'}, {'source_id': 'CTI_TEXTS-6', 'page': 1, 'quote': 'A second vector of phishing through Microsoft Teams is also in use by Storm-1674.'}]","{'actors': ['Storm-0569', 'Storm-1113', 'Sangria Tempest', 'Storm-1674'], 'malware': [], 'cves': [], 'sectors': [], 'regions': [], 'mitre': []}","{'from': '2023-11-15', 'to': None}",high
8,"What defensive control change is described in response to abuse of the ms-appinstaller protocol handler, and what downstream impact (e.g., ransomware distribution) is associated with the abuse?",True,Microsoft disabled the ms-appinstaller protocol handler by default in response to observed abuse. The abuse is described as an access vector for malware that may lead to ransomware distribution.,"[{'source_id': 'CTI_TEXTS-6', 'page': 1, 'quote': 'Microsoft has disabled the ms-appinstaller protocol handler by default.'}, {'source_id': 'CTI_TEXTS-6', 'page': 1, 'quote': 'as an access vector for malware that may lead to ransomware distribution.'}]","{'actors': [], 'malware': [], 'cves': [], 'sectors': [], 'regions': [], 'mitre': []}","{'from': '2023-11-15', 'to': None}",high
9,"Which malware family is associated with Pensive Ursa, what role does it play in the intrusion chain, and what sensitive data sources are reported as targeted?",True,"Kazuar is described as an advanced and stealthy .NET backdoor used by Pensive Ursa as a second-stage payload. Reported sensitive targets include assets in Signal messages, source control data, and cloud platforms data.","[{'source_id': 'CTI_TEXTS-7', 'page': 1, 'quote': 'Kazuar is an advanced and stealthy .NET backdoor that Pensive Ursa usually uses as a second stage payload.'}, {'source_id': 'CTI_TEXTS-7', 'page': 1, 'quote': 'going after sensitive assets such as those found in Signal messages, source control and cloud platforms data.'}]","{'actors': ['Pensive Ursa', 'Turla', 'Uroburos'], 'malware': ['Kazuar'], 'cves': [], 'sectors': [], 'regions': ['Russia'], 'mitre': []}","{'from': None, 'to': None}",high
10,"Which actor is linked to which state security service, and which sector is reported as a target of that actor’s tooling?",True,Pensive Ursa (also known as Turla/Uroburos) is described as linked to the Russian Federal Security Service (FSB). The Ukrainian defense sector is reported as a target of the upgraded Kazuar variant.,"[{'source_id': 'CTI_TEXTS-7', 'page': 1, 'quote': 'Pensive Ursa is a Russian-based threat group... linked to the Russian Federal Security Service (FSB).'}, {'source_id': 'CTI_TEXTS-7', 'page': 1, 'quote': 'The Ukrainian CERT reported... this version of Kazuar was targeting the Ukrainian defense sector.'}]","{'actors': ['Pensive Ursa', 'Turla', 'Uroburos', 'FSB'], 'malware': ['Kazuar'], 'cves': [], 'sectors': ['Defense'], 'regions': ['Russia', 'Ukraine'], 'mitre': []}","{'from': '2023-07-01', 'to': None}",high
